galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_cinfo_limit,beta_mode
ESO079-G014,0.41,33.2,11.6,0.26739232809979985,2056.0648780487804,6842.889295731725,8898.954173780505,29.034231520741166,52.96776955139802,60.40340397072012,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,0.98,50.4,11.8,0.10544394620170558,2331.8450000000003,1128.9377707055457,3460.7827707055458,47.803850263341765,33.261975516968846,58.237162665186865,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,1.78,53.9,9.75,-0.2935589848484795,2191.4216853932585,-1730.4131353867745,461.00855000648403,62.455829191517424,0.0,28.646033215988936,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,2.69,67.6,5.1,-0.23242178736992852,2145.1051672862454,-906.5650767835506,1238.540090502695,75.96270729772604,0.0,57.72064486344768,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,3.36,81.7,5.06,-0.024756086000480744,2036.5346726190473,-77.30669976507625,1959.227972853971,82.7209556279423,0.0,81.13572572417986,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,4.39,102.0,5.35,0.30889540123218623,1738.6562642369024,738.2804200774798,2476.936684314382,87.36533065238179,56.93022961608477,104.2772844110362,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,5.65,116.0,6.44,0.44691881396917177,1521.5261769911504,829.9551382248015,2351.481315215952,92.71797506416974,68.47807335906968,115.26434587924459,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,6.34,132.0,9.1,0.6203137550258051,1475.86190851735,1026.588941752712,2502.450850270062,96.73140389759676,80.67573297288469,125.95847883613152,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,6.89,137.0,5.25,0.6038131065659152,1487.253671988389,919.512721403729,2406.766393392118,101.22834484471234,79.59549390808309,128.77352387222962,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,8.34,154.0,4.2,0.5808251798908911,1588.6797362110312,730.7247430012162,2319.4044792122477,115.10685904845114,78.06564133234379,139.08211012430803,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,10.04,163.0,3.28,0.4362841213886518,1708.758097609562,455.9425486073134,2164.700646216875,130.9806523880531,67.65843028047152,147.42318165070725,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,11.65,170.0,2.41,0.43187034711649896,1608.9090643776824,388.9572658044527,1997.866330182135,136.90796397580382,67.31531881096511,152.56193085636363,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,13.36,175.0,2.18,0.4763572266644035,1421.9146781437125,374.11121559517943,1796.025893738892,137.8288072211321,70.69742456661061,154.9028919689739,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,15.06,177.0,2.23,0.5490495986357606,1199.78462815405,382.5260666023751,1582.3106947564252,134.42007476563907,75.90021451242262,154.36838751192474,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
ESO079-G014,16.67,178.0,2.03,0.6169316297786821,1024.1471505698862,388.3075772834165,1412.4547278533028,130.66190339957552,80.45549896256037,153.44582207839534,,16749.4844399448,10492.390081599005,True,3.9244916563160133,0.6264306295050108,146446975252.65442,formula
