galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,eta_obs_mean,eta_obs_std,ell_info_kpc,density_ref_gal_msun_per_kpc3
DDO168,9,2,2.2841906530715903,0.10762250956485397,0.15180946286566027,0.404067755472087,0.05334420178358892,0.3263395853481885,0.14030750253799373,0.939698078479802,0.595932244527913,0.05334420178358892,1.9769999999999999,75300744.96280545
ESO563-G021,26,5,2.0898387264367373,0.017069328710298003,9.589525437365252e-10,0.39023036225235835,0.07435922453563786,0.34001203252250595,0.11865388595663372,-0.3952611342270263,0.6097696377476416,0.07435922453563784,8.5,4972515764.711152
IC4202,28,5,2.147029425853597,0.036824752083930566,0.0003804181291224536,0.3919601302033297,0.07182062051516565,0.2410148019734089,0.07404397917264538,-0.5033626840440493,0.6080398697966702,0.07182062051516563,3.9700000000000006,870273012.8993666
NGC0100,17,5,2.405069179446495,0.1359863979797785,0.2795102686227423,0.39001728517338513,0.10108056751210978,0.30512000175676945,0.12952626254840058,0.685836977698167,0.6099827148266149,0.1010805675121098,2.0,56584745.922046766
NGC2403,69,5,2.1830250312414097,0.074618590735259,0.07111330903866815,0.38999419789287865,0.0999862483618649,0.21219374222185824,0.10150071417079007,0.9535285367441636,0.6100058021071213,0.09998624836186493,3.38,1357749636.4929445
NGC2683,10,2,2.2029389564334108,0.1849904057081675,0.22634290675663676,0.4019897325879091,0.05674217157198437,0.18324459176092853,0.07810584514296835,0.7579917498676774,0.5980102674120911,0.05674217157198435,14.424999999999999,24312998.44047567
NGC2841,46,5,2.1636952457552936,0.07485608749846331,0.07305374978016702,0.3997467502840778,0.10055284535760764,0.25402384559994196,0.11873270545279796,0.9749445816519522,0.6002532497159221,0.10055284535760764,12.240000000000002,607651636.969469
NGC2998,11,3,2.226069473156314,0.22787037020636713,0.39393741734120113,0.4135407007045215,0.12124226815707827,0.19029386397380232,0.07605732900499136,-0.15940055918760573,0.5864592992954786,0.12124226815707828,13.850000000000001,222861850.65588945
NGC3198,39,5,2.1754597816309404,0.0728659060543857,0.0492310045461115,0.4001953760882661,0.09944142095743592,0.26425411369856583,0.10989997667701822,0.14055054083486274,0.5998046239117343,0.09944142095743592,5.259999999999999,284176339.1599391
NGC3769,10,3,2.1412520781800217,0.12213373364093894,0.08457091851185333,0.4044969355336751,0.0787534768155044,0.33186830768466413,0.1402531698297911,0.5288347924667643,0.595503064466325,0.07875347681550438,5.799999999999999,123821242.45870626
NGC3917,14,4,2.225375092504513,0.05441203105514447,0.00997494124959658,0.3995536771078709,0.06620858086866607,0.21584548466374678,0.08666120312590182,0.06719749344546573,0.6004463228921291,0.06620858086866603,2.6250000000000004,168121561.79605794
NGC4010,10,3,2.334579553007335,0.09769311973896277,0.2722955949781994,0.4066463508784198,0.07340305406965843,0.16044310470009046,0.06454172105388369,-0.1345786064208046,0.5933536491215801,0.07340305406965845,2.620000000000001,91188656.95228384
NGC4013,32,5,2.1252709714603166,0.04196591875538851,0.004618575667509331,0.38557872094191653,0.06900099879229944,0.1913169977793761,0.07930665388551299,0.6826182994062852,0.6144212790580834,0.06900099879229941,4.42,610229883.7962602
NGC4068,6,1,2.295121031684408,0.0,0.0,0.0,0.0,0.23167014543970335,0.0,,0.50630979342103,1.1102230246251565e-16,2.12,72804900.72936271
NGC4088,10,3,2.12109938500992,0.04497484612552172,0.00022914777947450672,0.39272779042616157,0.058265526761878336,0.2720048951816609,0.09754029039262882,-0.8681699890244737,0.6072722095738383,0.05826552676187831,5.24,1338497201.579239
NGC4157,14,4,2.2268638059964565,0.08784681531381872,0.1138675208904642,0.4023737809047524,0.07897888439232426,0.2192733071215455,0.08169252557938367,-0.6011900104399932,0.5976262190952476,0.07897888439232421,5.2299999999999995,119491006.83341289
NGC4183,19,5,2.2514120650391183,0.060720913255322806,0.05244233168955255,0.394019042895893,0.07431998710173789,0.3040036737626113,0.12407631507948862,0.725337017129895,0.6059809571041068,0.07431998710173787,3.5,41664180.60558628
