r_kpc,v_obs,v_model
2.61,120.0,1.6155494421403513e-06
3.5,148.0,1.8708286933869708e-06
4.37,168.0,993.8980938368604
5.24,182.0,1099.1813821305593
6.11,190.0,406.15598739457374
6.98,194.0,2.6419689627245813e-06
7.85,195.0,2.8017851452243797e-06
8.72,193.0,2.9529646120466803e-06
9.6,192.0,3.0983866769659333e-06
10.47,192.0,3.2357379374726872e-06
11.35,191.0,3.3689761055846034e-06
12.19,189.0,3.491418050019218e-06
13.12,185.0,3.6221540552549664e-06
13.94,182.0,3.733630940518894e-06
14.86,179.0,3.854867053479277e-06
15.68,176.0,3.959797974644666e-06
16.61,174.0,4.075536774462966e-06
17.42,178.0,4.173727350941842e-06
18.35,177.0,4.283689998120779e-06
19.16,169.0,4.377213725647857e-06
20.09,158.0,4.4821869662029936e-06
21.02,158.0,4.58475735453906e-06
21.95,158.0,4.685082710048991e-06
22.76,159.0,4.770744176750625e-06
