r_kpc,v_obs,v_model
0.08,1.41,2.8284271247461903e-07
0.23,4.46,4.79583152331272e-07
0.38,7.71,6.164414002968976e-07
0.54,11.0,255.80289309275935
0.69,14.2,214.43958149165812
0.84,17.2,191.02950846673292
1.0,20.2,167.99376664982077
1.15,23.2,1.0723805294763608e-06
1.3,26.4,1.140175425099138e-06
1.46,29.3,118.7189815994993
1.61,31.6,121.0603644756296
1.76,34.6,90.83956922067551
1.92,37.4,70.4031887965451
2.07,39.9,39.22143734185721
2.22,42.2,5.705667279246276
2.38,44.4,1.5427248620541513e-06
2.53,46.7,1.5905973720586865e-06
2.68,48.5,1.63707055437449e-06
2.76,49.3,1.6613247725836148e-06
3.07,53.0,1.752141546793523e-06
3.46,54.1,1.8601075237738273e-06
3.83,55.0,1.9570385790780926e-06
4.23,55.7,2.056696380120313e-06
4.62,56.4,2.149418526020468e-06
4.99,56.9,2.233830790368868e-06
