r_kpc,v_obs,v_model
0.45,8.41,190.471172422137
0.9,17.8,171.36404356955475
1.35,26.0,1.1618950038622251e-06
1.8,30.9,1.3416407864998739e-06
2.25,34.7,1.5e-06
2.69,38.8,1.6401219466856725e-06
3.14,42.5,1.7720045146669351e-06
3.59,45.6,1.8947295321496417e-06
4.04,48.8,2.009975124224178e-06
4.49,51.8,2.118962010041709e-06
4.94,54.8,2.222611077089287e-06
5.39,56.6,2.3216373532487797e-06
5.84,58.4,2.416609194718914e-06
6.29,58.5,2.5079872407968905e-06
6.74,57.7,2.596150997149434e-06
7.19,57.3,2.6814175355583845e-06
