r_kpc,v_obs,v_model
0.11,56.2,18383.0868974112
0.23,64.6,12892.033370232382
0.34,70.2,5.8309518948453e-07
0.46,71.6,6.782329983125269e-07
0.57,71.0,7.549834435270749e-07
0.69,69.0,8.306623862918074e-07
0.8,67.7,8.944271909999158e-07
0.92,66.9,9.59166304662544e-07
1.03,66.6,1.0148891565092219e-06
1.14,66.8,1.067707825203131e-06
1.26,67.4,1.1224972160321825e-06
1.37,68.3,1.1704699910719626e-06
1.49,69.6,1.2206555615733702e-06
1.61,71.2,1.2688577540449521e-06
1.71,72.9,1.307669683062202e-06
1.83,74.9,1.3527749258468684e-06
1.94,77.0,1.3928388277184118e-06
2.06,79.2,1.4352700094407324e-06
2.18,81.4,1.4764823060233401e-06
2.29,83.6,1.5132745950421556e-06
2.4,85.7,1.5491933384829666e-06
2.52,87.8,1.5874507866387544e-06
2.63,89.7,1.6217274740226854e-06
2.75,91.4,1.6583123951777e-06
2.86,92.8,1.6911534525287763e-06
2.98,94.1,1.7262676501632068e-06
3.09,95.2,1.7578395831246945e-06
3.2,96.1,1.7888543819998317e-06
4.52,97.4,2.1260291625469298e-06
4.69,96.9,2.1656407827707716e-06
6.03,96.8,2.455605831561735e-06
7.53,105.0,2.7440845468024487e-06
8.58,110.0,2.929163703175362e-06
8.7,110.0,2.9495762407505253e-06
8.82,110.0,2.9698484809834997e-06
9.03,111.0,3.0049958402633436e-06
9.05,111.0,3.008321791298265e-06
10.53,112.0,3.2449961479175903e-06
12.07,112.0,3.474190553208042e-06
13.58,114.0,3.685105154537656e-06
15.09,118.0,3.884584919911006e-06
16.6,122.0,4.074309757492672e-06
18.11,125.0,4.255584566190642e-06
19.62,128.0,4.4294469180700204e-06
21.02,131.0,4.58475735453906e-06
24.04,127.0,4.903060268852505e-06
27.06,124.0,5.2019227214559806e-06
