r_kpc,v_obs,v_model
0.16,1.99,400.985736436702
0.41,4.84,347.44975758526664
0.57,6.79,218.66674626136185
0.73,8.87,101.35878577051083
0.9,10.9,9.486832980505138e-07
1.06,12.9,1.0295630140987e-06
1.22,14.7,1.104536101718726e-06
1.47,16.8,1.212435565298214e-06
1.79,20.1,1.3379088160259653e-06
