r_kpc,v_obs,v_model
0.21,17.4,2892.0483024805385
0.32,31.0,2006.2016999952361
0.43,36.1,948.817722443173
0.54,46.0,994.6416772687152
0.64,58.0,8e-07
0.74,63.4,899.1231879745111
0.85,71.9,1281.6877441839092
0.96,76.4,1278.930585863089
1.07,78.1,1085.2751003710441
1.17,80.5,995.7013513521713
1.28,82.8,996.5359897823637
1.38,85.6,1077.9506414717162
1.48,88.0,905.1560558837118
1.59,92.0,425.9563513534267
1.7,92.4,1.3038404810405296e-06
1.8,95.1,1.3416407864998739e-06
1.91,96.5,1.3820274961085253e-06
2.02,101.0,1.4212670403551894e-06
2.13,99.9,1.4594519519326424e-06
2.23,103.0,1.4933184523068078e-06
2.34,104.0,1.5297058540778353e-06
2.44,107.0,1.5620499351813307e-06
2.54,107.0,1.5937377450509227e-06
2.65,106.0,1.6278820596099706e-06
2.76,107.0,1.6613247725836148e-06
7.07,104.0,2.658947160061666e-06
8.49,106.0,2.913760456866693e-06
9.91,109.0,3.1480152477394387e-06
11.27,110.0,3.3570820663189036e-06
