r_kpc,v_obs,v_model
1.7,305.0,1.3038404810405296e-06
3.41,257.0,1.8466185312619388e-06
6.82,256.0,2.6115129714401192e-06
13.67,271.0,3.69729630946723e-06
19.49,282.0,4.414748010928823e-06
23.36,287.0,4.833218389437828e-06
27.24,283.0,5.219195340279955e-06
31.22,280.0,5.587486017879597e-06
35.1,280.0,5.9245252974394495e-06
38.97,281.0,6.242595614005443e-06
42.85,282.0,6.545991139621257e-06
46.73,287.0,6.83593446428504e-06
50.71,292.0,119.9447966874431
54.58,298.0,131.47677696528416
58.46,298.0,114.71635842358232
62.34,298.0,112.29184302399588
66.21,298.0,130.97639361512927
70.19,298.0,137.72958364179294
74.07,298.0,129.40729361192484
