r_kpc,v_obs,v_model
0.47,15.3,398.0269605758271
1.41,41.0,267.0353828627764
2.35,60.7,1.532970971675589e-06
3.29,74.9,1.8138357147217054e-06
4.22,83.0,2.0542638584174135e-06
5.17,86.8,2.2737634001804146e-06
6.11,89.4,2.471841418861655e-06
7.05,92.5,2.6551836094703508e-06
7.99,94.7,2.826658805020514e-06
8.92,96.3,2.9866369046136156e-06
9.87,97.8,3.1416556144810013e-06
10.79,98.8,4.713974331701149
11.8,99.5,3.4351128074635336e-06
12.6,99.7,3.5496478698597695e-06
