r_kpc,v_obs,v_model
0.6,16.0,200.53183395983925
0.73,16.6,167.8756064962258
0.85,18.6,180.1007398410946
0.98,20.0,207.98602039105918
1.07,21.4,161.32114504173194
1.54,28.9,115.29992656510663
2.02,32.9,1.4212670403551894e-06
2.49,35.2,1.57797338380595e-06
2.96,37.6,1.7204650534085253e-06
3.43,40.6,1.8520259177452133e-06
3.9,42.7,1.97484176581315e-06
4.37,45.5,2.0904544960366874e-06
4.86,48.9,2.2045407685048603e-06
5.34,51.5,2.3108440016582685e-06
5.81,53.0,2.41039415863879e-06
6.28,55.0,2.5059928172283337e-06
6.75,57.6,2.598076211353316e-06
7.22,59.7,2.6870057685088805e-06
7.69,60.5,2.7730849247724095e-06
8.16,61.8,2.8565713714171403e-06
8.64,62.9,2.9393876913398136e-06
9.11,63.0,3.018277654557314e-06
9.58,64.5,3.095157508108432e-06
10.05,65.6,3.1701734968294716e-06
10.52,67.5,3.243454948045371e-06
10.99,66.8,3.3151168908501554e-06
11.46,66.8,3.385262175962151e-06
11.94,66.6,3.455430508634199e-06
12.41,66.8,3.5227829907617074e-06
12.9,66.3,3.5916569992135944e-06
13.37,66.1,3.656501059756444e-06
