r_kpc,v_obs,v_model
0.72,125.0,8.48528137423857e-07
1.43,162.0,1.1958260743101398e-06
2.16,178.0,1.4696938456699068e-06
2.87,193.0,1.6941074346097416e-06
3.59,192.0,1.8947295321496417e-06
4.3,190.0,2.073644135332772e-06
5.03,195.0,2.2427661492005802e-06
5.75,201.0,2.3979157616563597e-06
6.46,204.0,2.5416530054277667e-06
7.18,204.0,2.6795522013948523e-06
7.91,206.0,2.8124722220850468e-06
8.62,206.0,2.9359836511806395e-06
11.49,206.0,3.3896902513356586e-06
14.3,206.0,3.7815340802378076e-06
17.19,203.0,4.146082488325576e-06
20.07,200.0,4.479955356920423e-06
22.96,194.0,4.791659420284376e-06
25.85,188.0,5.084289527554465e-06
28.74,184.0,5.360970061472084e-06
31.62,182.0,5.62316636780382e-06
34.51,180.0,5.874521257089806e-06
37.4,181.0,6.1155539405682614e-06
40.29,180.0,6.3474404290233396e-06
43.17,179.0,6.570388116390081e-06
45.92,179.0,6.7764297384389665e-06
48.81,179.0,6.986415389883428e-06
51.7,174.0,7.190271204899019e-06
54.59,172.0,7.38850458482635e-06
