r_kpc,v_obs,v_model
1.74,56.9,54.99318734812669
2.61,87.4,60.61825324807949
3.5,92.1,58.846997568740555
4.37,93.5,58.41555140662244
5.24,98.2,59.23035223672982
6.11,99.7,59.0057544945342
6.98,102.0,60.65177679769978
7.85,107.0,62.75929172734096
8.72,108.0,61.79123084753413
9.6,110.0,61.260521243839484
10.47,113.0,62.404168033273656
11.35,110.0,62.43336122514046
12.19,108.0,61.68538111539516
13.12,109.0,60.95185862556786
13.94,108.0,59.467825999437785
14.86,108.0,57.85315124534155
15.68,109.0,56.46692836588395
