r_kpc,v_obs,v_model
0.77,35.1,100.84639133299119
1.59,77.9,143.6429621914546
2.36,115.0,147.1768683577267
3.13,156.0,169.2840435868733
3.95,192.0,187.58210115549159
4.73,204.0,197.72246065108047
5.5,209.0,199.73315142655454
6.27,220.0,202.8048672165235
7.08,231.0,211.32981450566402
7.86,235.0,222.04315351808302
8.66,245.0,231.08921885697046
9.45,246.0,237.44359980071454
10.24,239.0,241.33572263773664
11.02,240.0,243.03443288193358
11.79,240.0,243.1279259360697
12.47,246.0,241.99641339051553
13.34,241.0,239.7326371289775
14.11,250.0,237.28056797980926
14.59,242.0,235.79772518317895
14.98,244.0,234.5910382013122
15.75,248.0,231.8913547276023
16.52,249.0,229.07077586636768
17.1,246.0,226.75611900970736
17.88,241.0,223.43196458858986
18.65,247.0,220.13858386850626
19.62,234.0,216.1140047878392
20.78,249.0,211.98426085150885
22.13,236.0,207.6967310037897
23.0,245.0,204.7532769244899
23.58,243.0,202.83358482506628
25.03,238.0,196.99990658197592
25.9,247.0,193.55491790983857
