r_kpc,v_obs,v_model
0.26,14.6,12.01071531099342
0.44,10.0,12.906570176803474
0.77,10.7,15.885858521592349
0.89,17.4,15.318115181909455
1.22,23.5,17.14886304827652
1.55,31.0,17.4927560793286
1.8,32.3,17.64074549912326
2.21,40.9,18.937483867020966
2.31,43.8,19.627271168945953
2.54,44.8,20.549737515935117
3.1,51.7,22.796169222019657
3.43,55.7,24.182486430179036
3.86,59.4,24.965789030675595
4.09,62.0,25.25910523694577
4.37,63.0,26.07454697065582
4.76,66.6,27.00543137321318
5.4,71.3,28.446799950524948
5.86,72.3,29.356248665151448
6.08,73.4,29.70872765767545
6.43,72.4,30.38423175943958
6.97,77.1,31.606970261814666
7.96,80.3,33.838514104840826
10.29,84.7,38.58873375485371
15.49,86.9,43.14781960246888
16.26,85.8,43.047772141277186
