r_kpc,v_obs,v_model
1.07,22.1,18.854500965508134
1.78,42.7,24.848365360747923
2.49,60.6,27.814579362787036
2.97,76.8,28.891317819297445
3.04,81.6,28.74386949771146
3.19,87.0,29.2204239466806
6.95,90.0,34.41071137441114
8.58,97.8,36.94322124581577
9.26,93.7,38.00915354952455
9.89,103.0,39.190769605340606
10.08,97.4,39.614063342618635
11.84,106.5,41.46549517374588
14.56,112.0,39.79729802914556
15.43,111.5,39.636999180118636
17.93,111.0,40.77812307254545
19.02,112.5,41.297103626180856
20.1,106.0,41.65058496839579
