r_kpc,v_obs,v_model
1.74,96.4,152.7481958286434
3.5,157.0,222.10184661197732
5.24,192.0,237.27807463614135
6.98,201.0,246.7231850759178
8.72,201.0,251.7670081951219
10.47,194.0,232.96290443112957
12.19,190.0,214.0728183901147
13.94,186.0,199.0370984424667
15.68,184.0,185.95683519740572
17.42,182.0,177.57140955220243
19.16,181.0,168.440726099783
20.9,183.0,159.6584386379237
22.65,185.0,154.93213855605563
24.39,186.0,148.53717683981964
26.13,186.0,142.60657437698515
27.87,184.0,137.3693283992312
29.61,185.0,132.81323115211435
