galaxy,matched_sparc_name,h_kpc_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
NGC3917,NGC3917,structure_2014_z0,0.87,24.3,35.64,4.65,0.87,14.86,0.87,2.8024198251105803,0.0,0.3523688747026732,1.0,7.853556876172815,6.832594482270349,3.881643053740587e-05,0.005811221435080848,35.64000047376956,-11.34000047376956,11.34000047376956,128.59561074509386
NGC3917,NGC3917,structure_2014_z0,1.74,49.6,47.54,4.65,0.87,14.86,0.87,2.4342341158610084,0.36818570924957195,0.3523688747026732,0.3517315100266216,2.08418356105819,8.645834180390974,1.2279391919567047e-05,0.004622352424907329,47.54000022471752,2.059999775282485,2.059999775282485,4.243599074163888
NGC3917,NGC3917,structure_2014_z0,2.61,73.6,60.47,4.65,0.87,14.86,0.8699999999999999,2.300785133205692,0.13344898265531624,0.3523688747026732,0.6847376184749641,3.624735430938888,11.799354005307805,7.448102967194194e-06,0.0044090303632858836,60.47000016073713,13.129999839262865,13.129999839262865,172.39689577904286
NGC3917,NGC3917,structure_2014_z0,3.5,101.0,74.08847953629498,4.65,0.87,14.86,0.8900000000000001,2.22878055580568,0.07200457740001198,0.3523688747026732,0.8151816411140786,4.049384449709993,15.403306165549699,5.4068748172949965e-06,0.004350179520494814,74.08847966400756,26.911520335992435,26.911520335992435,724.2299267945344
NGC3917,NGC3917,structure_2014_z0,4.37,107.0,86.0731694548307,4.65,0.87,14.86,0.8700000000000001,2.185027688132558,0.04375286767312225,0.3523688747026732,0.8832316229011906,4.216853364022241,19.07196859224905,4.294386258852008e-06,0.0043320281567856035,86.07316956384533,20.926830436154674,20.926830436154674,437.9322321035696
NGC3917,NGC3917,structure_2014_z0,5.24,115.0,97.28408400144393,4.65,0.87,14.86,0.8700000000000001,2.1549967071168044,0.030030981015753522,0.3523688747026732,0.9183047467524637,4.2646171686662075,22.782185528988652,3.5678062822188103e-06,0.004323806762428979,97.28408409753008,17.715915902469916,17.715915902469916,313.8536762633865
NGC3917,NGC3917,structure_2014_z0,6.11,123.0,105.04850308309966,4.65,0.87,14.86,0.8700000000000001,2.1330994522285938,0.021897254888210593,0.3523688747026732,0.9397485040619594,4.275962141706243,26.502272592273084,3.0525947414363042e-06,0.0043187213235141506,105.04850317187461,17.951496828125386,17.951496828125386,322.2562383701958
NGC3917,NGC3917,structure_2014_z0,6.98,130.0,109.04986198982556,4.65,0.87,14.86,0.8700000000000001,2.1164312769970435,0.016668175231550286,0.3523688747026732,0.9537981624727353,4.272330321068116,30.219199971602343,2.667107820910544e-06,0.004314674100086309,109.0498620751829,20.9501379248171,20.9501379248171,438.9082790688597
NGC3917,NGC3917,structure_2014_z0,7.85,134.0,111.3441242275496,4.65,0.87,14.86,0.8699999999999992,2.1033269309871065,0.013104346009936929,0.3523688747026732,0.9634937445319937,4.26248108200468,33.92755851294641,2.367455095227711e-06,0.00431097697715234,111.34412431100493,22.655875688995067,22.655875688995067,513.2887032351977
NGC3917,NGC3917,structure_2014_z0,8.72,136.0,110.78013043863056,4.65,0.87,14.86,0.870000000000001,2.092761208927197,0.010565722059909355,0.3523688747026732,0.9704602518634577,4.250275735096063,37.62529840247999,2.1277247171253466e-06,0.004307407518836942,110.78013052237193,25.219869477628066,25.219869477628066,636.0418164685957
