galaxy,matched_sparc_name,h_kpc_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
NGC4088,NGC4088,structure_2014_z0,1.74,84.9,137.12,1.41,1.74,21.48,1.76,2.2577613055070005,0.0,0.3978932101365058,1.0,5.097486112644675,8.971575558254628,1.2742031609358867e-05,0.004708623471916652,137.12000008084573,-52.22000008084572,52.22000008084572,2726.928408443527
NGC4088,NGC4088,structure_2014_z0,3.5,136.0,180.27,1.41,1.74,21.48,1.76,2.1127819930300875,0.14497931247691298,0.3978932101365058,0.6946359420648601,3.100749087105501,14.42889395156031,5.06483624422117e-06,0.004210335717585249,180.27000004916772,-44.27000004916772,44.27000004916772,1959.83290435331
NGC4088,NGC4088,structure_2014_z0,5.24,162.0,241.53337243536348,1.41,1.74,21.48,1.7400000000000002,2.069983510491024,0.04279848253906371,0.3978932101365058,0.8980201819906916,3.8478653733010235,21.12417970110409,3.3081541254424124e-06,0.00416349944365533,241.53337247124824,-79.53337247124824,79.53337247124824,6325.557336650308
NGC4088,NGC4088,structure_2014_z0,6.98,179.0,266.0199325238618,1.41,1.74,21.48,1.7400000000000002,2.049838601936654,0.020144908554369678,0.3978932101365058,0.9506313533115912,3.994399223811817,28.074434350536652,2.4778135587414635e-06,0.0041587424349213324,266.01993255636904,-87.01993255636904,87.01993255636904,7572.468662115017
NGC4088,NGC4088,structure_2014_z0,8.72,182.0,247.18580076533524,1.41,1.74,21.48,1.7400000000000002,2.038290714682236,0.011547887254418132,0.3978932101365058,0.9713945307853075,4.0357839245274345,35.09669837921439,1.984731438728614e-06,0.004160151216688345,247.18580080034303,-65.18580080034303,65.18580080034303,4249.188625982002
NGC4088,NGC4088,structure_2014_z0,10.47,179.0,235.3753226232521,1.41,1.74,21.48,1.75,2.0308361459539737,0.007454568728262334,0.3978932101365058,0.9814393119551907,4.047745690429315,42.180253337465686,1.6545666871107832e-06,0.00416212844756741,235.3753226600514,-56.37532266005141,56.37532266005141,3178.177005024906
NGC4088,NGC4088,structure_2014_z0,12.19,174.0,225.54851761871547,1.41,1.74,21.48,1.7199999999999989,2.0257579928688463,0.005078153085127379,0.3978932101365058,0.9873184936303517,4.05165440573863,49.149098915336126,1.4222521676944778e-06,0.004163802820042717,225.548517657149,-51.548517657149006,51.548517657149006,2657.249672649403
NGC4088,NGC4088,structure_2014_z0,13.94,171.0,206.5361714083032,1.41,1.74,21.48,1.75,2.0219810415228716,0.003776951345974666,0.3978932101365058,0.9905525359114196,4.049782250826732,56.236217854282906,1.244397164180864e-06,0.004164960560279202,206.536171450298,-35.53617145029801,35.53617145029801,1262.8194813449757
NGC4088,NGC4088,structure_2014_z0,15.68,168.0,192.1140338444852,1.41,1.74,21.48,1.7400000000000002,2.0191303792699857,0.0028506622528858827,0.3978932101365058,0.9928612127698692,4.047783456149437,63.279361067982926,1.1067216971457477e-06,0.004165740775809907,192.1140338896495,-24.114033889649505,24.114033889649505,581.4866304311648
NGC4088,NGC4088,structure_2014_z0,17.42,165.0,181.09665319933444,1.41,1.74,21.48,1.740000000000002,2.0168968697281726,0.002233509541813117,0.3978932101365058,0.9944023861809589,4.0451026010948885,70.31783959388804,9.964090731113877e-07,0.004166226836551315,181.0966532472576,-16.096653247257592,16.096653247257592,259.1022457624484
NGC4088,NGC4088,structure_2014_z0,19.28,171.0,170.92076205072337,1.41,1.74,21.48,1.8599999999999994,2.0149927096115956,0.001904160116577014,0.3978932101365058,0.9952258268105992,4.040811542716166,77.83374906334011,9.003727579058838e-07,0.004166435739625111,170.92076210150475,0.07923789849525065,0.07923789849525065,0.006278644557943645
NGC4088,NGC4088,structure_2014_z0,21.48,174.0,160.49922741247073,1.41,1.74,21.48,2.1999999999999993,2.013201871047384,0.0017908385642115832,0.3978932101365058,0.9955093114101596,4.034781094583202,86.71026747142315,8.08109900264764e-07,0.004166317397617125,160.4992274665464,13.500772533453613,13.500772533453613,182.2708590000555
