galaxy,n_points,n_segments,d_gal_mean,sigma0_abs_max,sigma1_abs_max,mean_beta_i,mean_p_stat_i,mean_dyn_persist_i,mean_g_trans,rmse_bar_only_kms,rmse_desc_kms,mae_bar_only_kms,mae_desc_kms,reduced_chi2_bar_only,reduced_chi2_desc,rmse_improvement_kms,mae_improvement_kms
NGC4068,6,1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0332781675934655,6.0332781675934655,4.801296271137378,4.801296271137378,5.445130931015962,5.445130931015962,0.0,0.0
UGCA281,7,1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.731165308050977,6.731165308050977,6.138508437910452,6.138508437910452,18.04988983802662,18.04988983802662,0.0,0.0
UGC08837,7,2,2.8524943516914676,4.440892098500626e-16,0.0,0.0,1.0,0.0,0.0,8.490305533776496,8.490305533776498,6.9506867492881765,6.9506867492881765,9.31837127870333,9.31837127870333,-1.7763568394002505e-15,0.0
UGC07089,10,3,2.592194752702695,0.2958969404825429,0.3911116153789971,0.13912900134977566,0.6946319927950927,0.27660748288106374,5.070451552500178,15.229946408036618,14.561503813438831,12.303559329756132,11.842514022362687,7.696393487154574,7.162670651483655,0.6684425945977868,0.4610453073934444
NGC4010,10,3,2.552514382838263,0.6025143828382626,0.7104066097888975,0.0023019184142502877,0.6179114151051509,0.2995035752687088,0.4298856324513944,17.55139775692406,17.518624577497018,15.401422451744116,15.377947862533954,14.345191584623803,14.285191331835316,0.03277317942704272,0.023474589210161767
UGC01281,21,5,2.7522516091874434,0.3607081934132359,0.4968290999587919,0.19043683770298486,0.45645958010458293,0.25209289131662554,0.8470763796212284,18.640470373770814,18.58973317130434,15.743638018514199,15.70101966944325,18.048624607225378,17.989575174682432,0.050737202466475395,0.04261834907094908
DDO168,9,2,2.5830251175718533,0.0,0.0,0.0,1.0,0.0,0.0,19.024813323289894,19.024813323289894,15.826201390734967,15.826201390734967,128.81094172142923,128.81094172142923,0.0,0.0
UGC05750,10,2,2.8581164791335603,0.0,0.0,0.0,1.0,0.0,0.0,21.177236001939548,21.177236001939548,17.68465137815956,17.68465137815956,8.104833924877713,8.104833924877713,0.0,0.0
NGC3917,14,4,2.796491955934579,0.8464919559345789,0.7759997391596887,0.003645874249793513,0.3495387940059721,0.42085664591156713,0.43452727069398017,26.275307983859516,26.242545358999532,23.910904002915338,23.8846517719595,39.657952050238954,39.56409156956127,0.03276262485998416,0.026252230955837064
NGC0100,17,5,2.6735715984191133,0.7235715984191131,1.0847738404078675,0.01091238378993618,0.2859308433019463,0.5104284826275401,0.4092093398697017,27.477769360087667,27.46057631032117,22.47593038297263,22.458095102607523,22.75170568590904,22.707334450392032,0.01719304976649738,0.01783528036510873
UGC04278,21,5,3.497948312726774,0.7868620924168255,1.018304769469613,0.0760055274269045,0.07252560882045203,0.3959975512290167,1.0054659914986548,27.733839595268694,27.686952434943926,23.36036661759344,23.30905100632123,30.149033019702177,30.018022120709077,0.04688716032476847,0.05131561127220863
UGC06917,10,2,2.6837151402378243,4.440892098500626e-16,0.0,0.0,1.0,0.0,0.0,30.596331189780688,30.596331189780688,28.244821977626014,28.244821977626014,57.79119508699503,57.79119508699503,0.0,0.0
NGC4183,19,5,2.7072768484367566,0.7572768484367565,0.9717267126823903,1.863626113683244e-05,0.30313228459754593,0.18478692248922973,0.0011623913964380701,33.32695447458726,33.32689503914762,31.374016102312698,31.373943778841785,35.62939113587394,35.62926705606791,5.943543963837783e-05,7.232347091346014e-05
NGC2683,10,2,1.95,2.220446049250313e-16,0.0,0.0,1.0,0.0,0.0,34.69083060476303,34.69083060476303,30.871646941735946,30.871646941735957,15.1749967952912,15.174996795291204,0.0,-1.0658141036401503e-14
UGC05721,19,5,2.8529296238923685,0.9029296238923683,1.8020827894526779,0.005188077484397075,0.2653713345501093,0.5393872398173216,0.0403306596560988,36.852187353133786,36.84650311207736,32.95812890387441,32.95367602891899,64.97833429318933,64.95724826704371,0.005684241056428618,0.004452874955418906
NGC2998,11,3,2.617673212880456,0.5375826589665396,0.6496831607351634,0.006288506788375267,0.616002251578904,0.28800804483955694,0.6900478189341591,37.33173037461076,37.20400296519114,31.907527665370004,31.812485707417853,200.42843511566008,198.69773552368744,0.12772740941962013,0.09504195795215153
IC4202,28,5,2.5890607066984446,0.6390607066984444,0.7103573881444634,0.02200038650384416,0.266017403593609,0.32123693378521534,6.055557723190981,37.32068988815855,37.267346567360825,25.941003196887227,25.816117973431012,68.3607217596409,68.25888088521423,0.05334332079772253,0.12488522345621433
NGC2403,69,5,2.478888403399558,0.528888403399558,0.42811593848196106,0.29865663837390144,0.4019117080661019,0.4196614928723836,7.084223509332884,38.14020035207019,37.73370707705988,26.9481844126792,26.648233860470427,2117.2026111001674,2053.6916050393106,0.4064932750103054,0.29995055220877376
UGC08490,26,5,2.5775520154608182,1.4724479845391816,2.0999999999999996,0.005468793320675675,0.36639244419341627,0.5474120658200968,0.12713905289131297,38.11435670120881,38.10593736282385,36.39149888289967,36.38352973711015,110.95778925072966,110.90877422987734,0.008419338384960895,0.007969145789516574
NGC3198,39,5,2.613380412086821,0.6633804120868207,0.8426910288813967,0.025245438329448873,0.0923346801476997,0.5030363368464532,0.551274456406093,38.233093369686515,38.17177715101096,28.66609111276689,28.619779669579465,308.0344533964537,306.9237914614294,0.061316218675557366,0.04631144318742386
UGC05986,13,3,2.509789183607202,0.5597891836072018,0.5597891836072022,0.01088014702876937,0.6717754294384015,0.2839603902785949,0.6481739592576727,39.21030770006691,39.14225933721,35.005928290617334,34.95444919008879,159.98877964927615,159.54411934395787,0.06804836285691351,0.051479100528545985
NGC4013,32,5,1.9915414047465507,2.058458595253449,2.0999999999999996,3.269058171778763e-07,0.3954246804450094,0.5416710115295037,3.938772730351597e-05,39.77498515690112,39.77498380327081,33.98487619687046,33.98487354619743,63.22861127015683,63.2286068566162,1.353630310063636e-06,2.6506730321784744e-06
NGC3769,10,3,2.052525530981769,0.5335869038409351,0.6361124348227039,0.006724417693550608,0.6249133629874275,0.2664397198591803,0.11729690525941211,41.03929160632841,40.99067123400522,37.68828076383251,37.653262884942045,26.748521752640777,26.709179073941364,0.048620372323192385,0.03501787889046426
NGC4157,14,4,1.9500000000000002,1.0499999999999998,1.0499999999999998,2.3470814093399204e-07,0.5001607513213243,0.22736155392478669,4.27684170276608e-05,41.47400894099612,41.47400873263071,36.94523856803081,36.94523779161752,22.518587028159978,22.518586625009405,2.083654138118618e-07,7.764132874399365e-07
NGC5907,16,4,1.95,2.220446049250313e-16,0.0,0.0,1.0,0.0,0.0,44.87186077341752,44.87186077341752,38.15277312787822,38.15277312787822,278.20567368565906,278.20567368565906,0.0,0.0
UGC06667,8,2,2.970168835136161,0.0,0.0,0.0,1.0,0.0,0.0,45.17688884804951,45.17688884804951,43.819180397494996,43.819180397494996,214.57156548510218,214.57156548510218,0.0,0.0
NGC4088,10,3,1.9500000000000004,2.220446049250313e-16,0.0,0.0,1.0,0.0,0.0,47.03169137242292,47.03169137242292,40.29237110232917,40.29237110232917,46.15742119320178,46.15742119320178,0.0,0.0
NGC4389,6,1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,57.39781645079807,57.397816450798075,56.31212209049402,56.31212209049402,95.84293762891839,95.84293762891839,-7.105427357601002e-15,0.0
ESO563-G021,26,5,2.758412999994659,0.8084129999946588,1.0499999999999998,0.03264692923271666,0.2934412815965881,0.5258353542749681,9.149149421388165,64.78208319473143,64.62700466161108,57.10482145811693,56.83211968248337,67.4922502885804,67.35028358807806,0.1550785331203457,0.272701775633557
UGC12506,27,5,2.8104246247380207,1.1188058506854097,1.9792304754234302,4.037248443224119e-05,0.3951091247889168,0.37163127535561413,0.0045198457280164655,78.6664731901264,78.66610571204963,77.98599478458165,77.98562948441248,36.1241909455634,36.12377431475176,0.00036747807676817956,0.0003653001691645841
NGC5985,29,5,2.603195412287662,0.653195412287662,0.7901117907698896,0.10295463290149569,0.19112356294667027,0.498029222067351,14.317836810640339,80.13422110229563,79.03089915122099,79.36502297396683,78.33621012463163,253.88130843550564,243.67443090398328,1.1033219510746335,1.0288128493351962
NGC2841,46,5,2.564415803702775,0.7683575022310607,1.3827733059338354,0.0008752042285887494,0.37246284560697496,0.35726661010948835,0.16830883394705473,88.77406175651149,88.77098564974533,74.28523701151788,74.28068618434523,412.3645809600969,412.34515605671015,0.0030761067661586594,0.004550827172650429
