echo_patch,location_label,delay_time_days,delay_time_err_plus_days,delay_time_err_minus_days,theta_arcsec,z_1e17_cm,z_err_1e17_cm,hemisphere_group,source_table,notes,z_abs_1e17_cm,theta_norm,z_abs_norm,delay_norm,sigma_obs,sigma_burst_local,sigma_total,Dw_trial_topological,delay_topological_proxy_days,angle_deg,angle_rad
N1,north,125,8,8,4.52,0.0,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.0,0.4799999999999998,0.0,0.0,0.2080000000000001,1.0,0.4852000000000001,2.5148,143.9228,90,1.5707963267948966
S1,south,136,5,5,4.99,0.1,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.1,0.668,0.06666666666666667,0.28205128205128205,0.1728,0.717948717948718,0.36360205128205125,2.6363979487179487,139.18048,270,4.71238898038469
N2,north #2,156,5,5,5.5,-0.1,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.1,0.8719999999999999,0.06666666666666667,0.7948717948717948,0.09120000000000006,0.20512820512820518,0.13107487179487184,2.8689251282051282,130.11192,75,1.3089969389957472
S2,south #2,162,3,3,5.82,0.0,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.0,1.0,0.0,0.9487179487179487,0.0,0.05128205128205132,0.01794871794871796,2.982051282051282,125.7,255,4.4505895925855405
NW,northwest,159,10,1,3.99,-1.1,0.2,west_side_inclined,Sokoloski2013_Table2,Used to infer ring inclination.,1.1,0.2680000000000001,0.7333333333333334,0.8717948717948718,0.7327999999999999,0.1282051282051282,0.5211917948717948,2.478808205128205,145.32648,135,2.356194490192345
W,west,164,20,5,3.32,-1.5,0.2,west_side_inclined,Sokoloski2013_Table2,Used to infer ring inclination.,1.5,0.0,1.0,1.0,1.0,0.0,0.65,2.35,150.35,180,3.141592653589793
