echo_patch,location_label,delay_time_days,theta_arcsec,theta_au_at_4p8kpc,theta_ly_at_4p8kpc,z_1e17_cm,system_context,medium_context,display_note
N1,north,125,4.52,21695.999999999996,0.34306744120427596,0.0,recurrent nova binary: white dwarf + donor companion,pre-existing / previously ejected surrounding echo medium,"binary overlay in circular plot is illustrative, not to physical scale"
S1,south,136,4.99,23952.0,0.37874038309941094,0.1,recurrent nova binary: white dwarf + donor companion,pre-existing / previously ejected surrounding echo medium,"binary overlay in circular plot is illustrative, not to physical scale"
N2,north #2,156,5.5,26400.0,0.4174493200494509,-0.1,recurrent nova binary: white dwarf + donor companion,pre-existing / previously ejected surrounding echo medium,"binary overlay in circular plot is illustrative, not to physical scale"
S2,south #2,162,5.82,27936.000000000004,0.44173728048869176,0.0,recurrent nova binary: white dwarf + donor companion,pre-existing / previously ejected surrounding echo medium,"binary overlay in circular plot is illustrative, not to physical scale"
NW,northwest,159,3.99,19152.0,0.3028405067267835,-1.1,recurrent nova binary: white dwarf + donor companion,pre-existing / previously ejected surrounding echo medium,"binary overlay in circular plot is illustrative, not to physical scale"
W,west,164,3.32,15936.0,0.2519875895571231,-1.5,recurrent nova binary: white dwarf + donor companion,pre-existing / previously ejected surrounding echo medium,"binary overlay in circular plot is illustrative, not to physical scale"
