galaxy,n_points,n_segments,d_gal_mean,sigma_abs_max,mean_omega_i,mean_tau_i,rmse_bar_only_kms,rmse_desc_kms,mae_bar_only_kms,mae_desc_kms,reduced_chi2_bar_only,reduced_chi2_desc,rmse_improvement_kms,mae_improvement_kms
NGC4068,6,1,3.0721698819561456,4.440892098500626e-16,0.22598237874925206,-2.2960963863305648e-17,6.0332781675934655,6.0332781675934655,4.801296271137378,4.801296271137378,5.445130931015962,5.445130931015962,0.0,0.0
UGCA281,7,1,3.0666004637672675,0.0,0.2129649787159885,0.0,6.731165308050977,6.731165308050977,6.138508437910452,6.138508437910452,18.04988983802662,18.04988983802662,0.0,0.0
UGC08837,7,2,3.0551582039847935,0.011717968416825375,0.18984753916849573,1.1726647601418443e-05,8.490305533776496,8.497297729099008,6.9506867492881765,6.95632302938021,9.31837127870333,9.334312957373355,-0.0069921953225122735,-0.005636280092033097
UGC07089,10,3,3.0721376981610047,0.04104520736919781,0.20281792229521234,-0.0005118203786474057,15.229946408036618,15.296389884600353,12.303559329756132,12.355532638496054,7.696393487154574,7.761668981517914,-0.06644347656373562,-0.051973308739922786
NGC4010,10,3,3.1630827154265875,0.11526341884906355,0.31157465255944633,-0.00385612619420707,17.55139775692406,18.079886914315846,15.401422451744116,15.812554529062183,14.345191584623803,15.24647640834629,-0.5284891573917854,-0.4111320773180669
UGC01281,21,5,3.035635662183777,0.017519264992960082,0.13916585470149329,0.000185629180170808,18.640470373770814,18.641460792774883,15.743638018514199,15.742722556795085,18.048624607225378,18.052695983822254,-0.000990419004068599,0.0009154617191136083
DDO168,9,2,3.0498658113982784,0.02369271010740137,0.1589018193887753,-8.953794710487754e-05,19.024813323289894,19.035457663987728,15.826201390734967,15.830593481272842,128.81094172142923,128.93027798210284,-0.010644340697833599,-0.0043920905378751485
UGC05750,10,2,3.0213523016184904,0.017684621146588864,0.1079970541771415,0.00039989262455265585,21.177236001939548,21.177981142891383,17.68465137815956,17.684568657210395,8.104833924877713,8.105719289971633,-0.0007451409518353103,8.272094916605965e-05
NGC3917,14,4,3.1570071859694764,0.15700718596947638,0.26475679696334087,-0.0009933521667188387,26.275307983859516,26.37742206115914,23.910904002915338,23.994865956805274,39.657952050238954,40.04590874170561,-0.10211407729962474,-0.08396195388993632
NGC0100,17,5,3.087722843482061,0.07336737027496465,0.18941750671138657,-0.0005411522023395372,27.477769360087667,27.542791674399464,22.47593038297263,22.52300780577112,22.75170568590904,22.881820675602135,-0.06502231431179695,-0.04707742279848759
UGC04278,21,5,3.0793069742022596,0.027615688503523028,0.22021703789509633,-0.00048746975860610407,27.733839595268694,27.72381030882395,23.36036661759344,23.360928828282603,30.149033019702177,30.17950386574383,0.010029286444744656,-0.0005622106891642886
UGC06917,10,2,3.0846621670458725,0.027599108023313335,0.25558202511907896,0.00040311116212336383,30.596331189780688,30.652979861690437,28.244821977626014,28.26487824955015,57.79119508699503,58.02168949171668,-0.056648671909748316,-0.020056271924136837
NGC4183,19,5,3.103905379716083,0.10013505635877973,0.16060914130584972,-0.0004113095526784875,33.32695447458726,33.37811777366233,31.374016102312698,31.41151124592115,35.62939113587394,35.74102970052031,-0.05116329907507122,-0.03749514360845296
NGC2683,10,2,3.1574402838589815,0.15744028385898146,0.182679920357153,6.810796014522215e-17,34.69083060476303,34.69083060476303,30.871646941735946,30.871646941735946,15.1749967952912,15.1749967952912,0.0,0.0
UGC05721,19,5,3.10678549419961,0.11446937960163872,0.17546134334499688,-0.0005642408992779158,36.852187353133786,36.882014869776164,32.95812890387441,32.97198650506204,64.97833429318933,65.08744032967212,-0.029827516642377816,-0.013857601187631019
NGC2998,11,3,3.1815604172873853,0.17953294735838066,0.3236767491416915,0.004605448084362367,37.33173037461076,37.84759288662248,31.907527665370004,32.24704250503948,200.42843511566008,210.80028866618014,-0.5158625120117222,-0.3395148396694765
UGC08490,26,5,3.0897602462848472,0.08735351616209197,0.1139346260399623,-0.0006384563424493043,38.11435670120881,38.135480850934606,36.39149888289967,36.40345376476914,110.95778925072966,111.08081577847402,-0.021124149725793018,-0.011954881869471023
NGC2403,69,5,3.151202636438478,0.14920930977446867,0.26122648673010346,0.0007560323842715629,38.14020035207019,38.30555186043014,26.9481844126792,27.226925180806948,2117.2026111001674,2157.018500775917,-0.16535150835995438,-0.2787407681277472
NGC3198,39,5,3.142116359454708,0.13479201216875092,0.25396166614568005,0.0048655828390377605,38.233093369686515,38.406601353197274,28.66609111276689,28.72238508096111,308.0344533964537,310.7513924736488,-0.1735079835107598,-0.05629396819422183
IC4202,28,5,3.2526375843660422,0.21367363225261737,0.34934542235804933,-0.012035427771166913,37.32068988815855,38.86209540639007,25.941003196887227,27.66873584091393,68.3607217596409,72.05045395713402,-1.541405518231521,-1.7277326440267018
UGC05986,13,3,3.1358647918351097,0.1358647918351097,0.20560607348370577,-0.0013425167543921175,39.21030770006691,39.30228828391794,35.005928290617334,35.08420606727265,159.98877964927615,160.78211840211748,-0.0919805838510257,-0.07827777665531954
NGC4013,32,5,3.231679024910719,0.231679024910719,0.09064438270605332,-0.0007132151223318244,39.77498515690112,39.85569127248336,33.98487619687046,34.068785341990626,63.22861127015683,63.569270832049106,-0.08070611558224527,-0.08390914512016678
NGC3769,10,3,3.131425190794143,0.12836349933019386,0.14015028942917632,0.0008108609050459006,41.03929160632841,41.2019755789281,37.68828076383251,37.91502519954448,26.748521752640777,27.087292417441827,-0.16268397259968737,-0.22674443571197145
NGC4157,14,4,3.355936162541273,0.35593616254127314,0.11856225032657994,-6.001119079866293e-24,41.47400894099612,41.47400894099612,36.94523856803081,36.94523856803081,22.518587028159978,22.518587028159978,0.0,0.0
NGC4088,10,3,3.339281681115601,0.339281681115601,0.24671838551950218,-0.01625157255698224,47.03169137242292,44.910262548009435,40.29237110232917,38.46379679861063,46.15742119320178,40.40863376674977,2.121428824413485,1.8285743037185398
UGC06667,8,2,3.0331040750328917,0.001993096483271728,0.1227364272260692,2.052468453411746e-05,45.17688884804951,45.17729597892197,43.819180397494996,43.81947351008772,214.57156548510218,214.57557152303843,-0.00040713087246047053,-0.00029311259272191137
NGC5907,16,4,3.204331276597056,0.20224199917171015,0.17019874156367704,-0.006218202318262376,44.87186077341752,45.23203807887215,38.15277312787822,38.59066539754636,278.20567368565906,286.1716182708684,-0.3601773054546342,-0.43789226966814
NGC4389,6,1,3.259983776495822,4.440892098500626e-16,0.44271283353897434,9.255087644121145e-17,57.39781645079807,57.39781645079807,56.31212209049402,56.31212209049402,95.84293762891839,95.84293762891839,0.0,0.0
ESO563-G021,26,5,3.267345864204473,0.26734586420447304,0.2671768011530625,0.0005615285957487927,64.78208319473143,65.0538327392877,57.10482145811693,57.5212167992621,67.4922502885804,66.5295010132259,-0.27174954455627187,-0.41639534114516863
UGC12506,27,5,3.1335603483555743,0.11278320012786125,0.23614431103224193,-0.00023351811079751206,78.6664731901264,78.98935327434167,77.98599478458165,78.21759106239097,36.1241909455634,36.475189244247446,-0.3228800842152708,-0.23159627780931658
NGC5985,29,5,3.186784812874047,0.12432232211468941,0.3505500253020649,-0.00017197807466252658,80.13422110229563,80.36026131014069,79.36502297396683,79.61493046970402,253.88130843550564,262.7056874689031,-0.22604020784505963,-0.2499074957371903
NGC2841,46,5,3.215230853415098,0.20895590264286623,0.24538462599897462,0.003982463892959559,88.77406175651149,89.11219876012827,74.28523701151788,73.75054394418181,412.3645809600969,417.2800839685702,-0.33813700361677945,0.5346930673360646
