galaxy,n_points,chi2,reduced_chi2,rmse_kmps,mae_kmps,mean_abs_residual_kmps,max_abs_residual_kmps,beta_formula,beta_value,rs_kpc,status,source_file
CamB,9,84.909420375722,10.61367754696525,4.607315389023253,4.22620089382011,4.22620089382011,6.429388876683932,median(a_obs),132.01111111111112,5.0,success,data\raw\sparc_csv\CamB.csv
D512-2,4,29.659553533214464,9.886517844404821,9.25361425459255,9.129109605617817,9.129109605617817,11.306841409325823,median(a_obs),513.3802083333334,5.0,success,data\raw\sparc_csv\D512-2.csv
D564-8,6,102.081700176901,20.4163400353802,7.630302009251329,6.976716362339785,6.976716362339785,9.808233338344467,median(a_obs),224.26960784313724,5.0,success,data\raw\sparc_csv\D564-8.csv
D631-7,16,687.9901343825537,45.866008958836915,15.223009401901892,13.276298673035997,13.276298673035997,21.869163323763445,median(a_obs),551.8605120537113,5.0,success,data\raw\sparc_csv\D631-7.csv
DDO064,14,82.21819936650495,6.3244768743465345,11.924978870662981,10.964667591455958,10.964667591455958,16.606554788941693,median(a_obs),823.2730510010476,5.0,success,data\raw\sparc_csv\DDO064.csv
DDO154,12,27680.44452871096,2516.4040480646327,13.509603503065685,12.586661964992379,12.586661964992379,17.01679659133699,median(a_obs),524.3666780704755,5.0,success,data\raw\sparc_csv\DDO154.csv
DDO161,31,2079.4122796664046,69.31374265554682,10.607613893413589,8.976037702494315,8.976037702494315,15.715388394002574,median(a_obs),457.917824074074,5.0,success,data\raw\sparc_csv\DDO161.csv
DDO168,10,813.8059263365279,90.42288070405866,13.922391194457099,11.98789449681888,11.98789449681888,20.301695701724057,median(a_obs),807.2063309447112,5.0,success,data\raw\sparc_csv\DDO168.csv
DDO170,8,744.3124107630756,106.33034439472509,10.986385647916597,10.421823432554643,10.421823432554643,16.318799348305575,median(a_obs),423.8813208896761,5.0,success,data\raw\sparc_csv\DDO170.csv
ESO079-G014,15,242.9303152564727,17.352165375462338,15.81775609048288,13.57035459347531,13.57035459347531,28.518575216929804,median(a_obs),2381.592920353982,5.0,success,data\raw\sparc_csv\ESO079-G014.csv
ESO116-G012,15,694.5341144568108,49.60957960405791,17.748939572642282,15.766111206558264,15.766111206558264,26.053451590368894,median(a_obs),1927.710843373494,5.0,success,data\raw\sparc_csv\ESO116-G012.csv
ESO444-G084,7,792.6187958587434,132.1031326431239,20.248386755521597,19.532411009172726,19.532411009172726,24.481318082261645,median(a_obs),1450.0,5.0,success,data\raw\sparc_csv\ESO444-G084.csv
ESO563-G021,30,486.49289544970634,16.775617084472632,23.969480043680118,18.052732101215586,18.052732101215586,63.379999999999995,median(a_obs),4391.20268104643,5.0,success,data\raw\sparc_csv\ESO563-G021.csv
F561-1,6,4.406638159047073,0.8813276318094146,4.7322848535206825,3.938119544602596,3.938119544602596,7.901169674876307,median(a_obs),357.6962010689008,5.0,success,data\raw\sparc_csv\F561-1.csv
F563-1,17,68.51659676869052,4.282287298043157,21.42455192013417,16.73413882974894,16.73413882974894,46.16446408406825,median(a_obs),957.9603040540541,5.0,success,data\raw\sparc_csv\F563-1.csv
F563-V1,6,1.0410256576942905,0.20820513153885808,2.0826922257164027,1.5703548132257639,1.5703548132257639,4.116466429634176,median(a_obs),145.47881679389315,5.0,success,data\raw\sparc_csv\F563-V1.csv
F563-V2,10,45.649880841792225,5.072208982421358,23.90623421906503,19.14408359283804,19.14408359283804,42.601059545776444,median(a_obs),1642.7037816969378,5.0,success,data\raw\sparc_csv\F563-V2.csv
F565-V2,7,66.68379227271166,11.113965378785275,20.46152902323139,19.72954684732604,19.72954684732604,26.67137666517374,median(a_obs),817.2745358090185,5.0,success,data\raw\sparc_csv\F565-V2.csv
F567-2,5,7.637696317179159,1.9094240792947899,6.342794388157917,5.115136210773066,5.115136210773066,10.275548388403585,median(a_obs),376.8802083333333,5.0,success,data\raw\sparc_csv\F567-2.csv
F568-1,12,68.9655987714526,6.2695998883138735,27.291164305580597,23.95128072890367,23.95128072890367,43.339066612556344,median(a_obs),1991.3080840025812,5.0,success,data\raw\sparc_csv\F568-1.csv
