galaxy_name,status,message,output_csv,output_plot_png,output_residual_png,n_points,rmse_kms,mae_kms,r2,Dw_min,Dw_max,beta_min,beta_max,h_kpc_source,v_vis_source
DDO168_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\DDO168_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\DDO168_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\DDO168_structure_enriched_residual.png,10,18.76703828312476,15.870005336356545,-0.8275459215117515,2.0570734784462066,2.604700087494171,0.5036879194410965,1.0,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
ESO563-G021_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\ESO563-G021_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\ESO563-G021_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\ESO563-G021_structure_enriched_residual.png,30,62.9350574010322,55.3682843108965,0.4858840847431518,2.0046756815353928,2.609238575955086,0.16182686233457402,1.0,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
IC4202_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\IC4202_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\IC4202_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\IC4202_structure_enriched_residual.png,32,35.2231181915248,23.8428126653271,0.5246248545215655,2.02143428513672,2.7377913706631865,0.28464852875200053,1.0,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
NGC0100_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\NGC0100_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\NGC0100_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\NGC0100_structure_enriched_residual.png,21,26.631135755783827,21.69843756238768,-0.2745817629333158,2.089281058337083,3.4895305127014824,0.053218361933370345,1.0,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
NGC2403_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\NGC2403_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\NGC2403_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\NGC2403_structure_enriched_residual.png,73,37.8955993604263,26.770417028689494,-1.079900158171471,2.003495960602576,2.6347291080813307,0.31659581205312126,1.0,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
NGC2683_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\NGC2683_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\NGC2683_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\NGC2683_structure_enriched_residual.png,11,33.117970008763606,28.5652332362154,-1.3333707088695625,2.101234744934175,2.9277361265952413,0.36306497800504095,1.0,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
NGC2841_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\NGC2841_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\NGC2841_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\NGC2841_structure_enriched_residual.png,50,87.87483215479268,73.82165496234173,-26.511354871581332,2.006044082574412,2.2022221159128392,0.9389922052448364,1.0,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
NGC2998_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\NGC2998_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\NGC2998_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\NGC2998_structure_enriched_residual.png,13,35.12222731946005,29.568972406462763,0.18790279316080172,2.0105336568256926,3.0425874437711684,0.051607056382676535,1.0,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
NGC3198_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\NGC3198_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\NGC3198_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\NGC3198_structure_enriched_residual.png,43,37.605922341361506,28.097610767044163,-0.13107504474343123,2.0064389145856665,2.8786653876605253,0.14416258178680974,1.0,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
NGC3769_structure_enriched,OK,success,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_results\NGC3769_structure_enriched_topological_rotation.csv,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_plots\NGC3769_structure_enriched_rotation_curve.png,C:\Users\mincu\Desktop\topological_gravity_project\data\derived\crossmatched\20260326_153338\per_galaxy_residual_plots\NGC3769_structure_enriched_residual.png,12,38.6539041526021,34.84198349901535,-13.683516752715441,2.013823143704287,2.4222085833989744,0.5049250195558982,1.0,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2)
