galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,state_term_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,causal_horizon_kpc,ell_info_kpc,c_info_gal,tau_struct_gal,propagation_term_i,history_term_i,delta_struct_i,DeltaD_i
NGC4088,1,1.74,6.98,4.36,5.24,1.41,140.475,206.23582623980633,8.925,43117577877.2855,4,1338497201.579239,32.213424,1338497201.579239,2.0886953301209505,2.2378253204756997,2.1632603252983253,0.47427289678332146,2.144993760991239,-0.0034281744592996885,0.5193250120270811,5.24,5.24,1.0,2.0,0.146461951723461,0.493212397241012,0.48184869696639765,0.48184869696639765
NGC4088,2,8.72,13.94,11.33,5.219999999999999,1.41,176.5,228.6614531039015,6.625,137738539364.0437,4,1338497201.579239,83.39106599999998,1651718175.2304704,2.0438904639887947,2.2095639293795095,2.1267271966841523,0.5,2.12109938500992,-0.0031730374598383793,0.5,5.24,5.24,1.0,2.0,0.15049317864786918,0.5,0.5,0.5
NGC4088,3,15.68,21.48,18.58,5.800000000000001,1.41,169.5,176.15766912675343,6.975,134056681773.51591,4,1338497201.579239,151.94724,882258090.199703,2.029469563753979,2.117151702340585,2.073310633047282,0.5333869310463376,2.100018914865717,-0.0029076510543728437,0.4781779312617889,5.24,5.24,1.0,2.0,0.15377332958478682,0.5053902596049274,0.5221882624697736,0.5221882624697736
