galaxy,n_points,n_segments,mean_Dw_i,mean_Dw_smooth_i,mean_abs_dDw_dr_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,propagation_term_mean,propagation_source_mean,causal_horizon_kpc,ell_info_kpc,density_ref_gal_msun_per_kpc3
DDO168,10,2,2.2841906530715903,2.2841906530715903,0.0,0.0,0.0,0.33066982021725205,0.0,,0.0,0.0,2.0,1.9769999999999999,75300744.96280545
ESO563-G021,30,5,2.0898387264367373,2.0908465422355818,0.0011726484029304291,0.45180891767444054,0.09614090291800474,0.3147385952704379,0.12075337595617705,-0.4962228325686627,0.12082908184011501,0.520994047802817,8.5,8.5,4972515764.711152
IC4202,32,5,2.147029425853597,2.147479448252071,0.004247023569929383,0.46789053003044545,0.053649527848525974,0.2156063382860122,0.08734586176270343,-0.47339604171022753,0.10677018742714547,0.49410927010580585,3.9700000000000006,3.9700000000000006,870273012.8993666
NGC0100,21,5,2.405069179446495,2.397999210837412,0.04061879285308861,0.49966517861432636,0.08341261429694692,0.29156956392020095,0.13759697305421886,-0.627311588285375,0.0925445366234997,0.4039630490741752,2.0,2.0,56584745.922046766
NGC2403,73,5,2.1830250312414097,2.182397097171777,0.030048546550086968,0.4892260929051244,0.08224751370833278,0.21066590603576663,0.10056211041327733,-0.15543202505315049,0.07558171164470393,0.41170804692879454,3.38,3.38,1357749636.4929445
NGC2683,11,2,2.2029389564334108,2.2029389564334108,0.0,0.0,0.0,0.16949354890544696,0.0,,0.0,0.0,14.424999999999999,14.424999999999999,24312998.44047567
NGC2841,50,5,2.1636952457552936,2.1621302431913985,0.011624141113325668,0.47924868873015103,0.10556488252682575,0.25255408391929535,0.11791621677633822,-0.17140888757980402,0.06862960090879544,0.44246570174541133,12.240000000000002,12.240000000000002,607651636.969469
NGC2998,13,3,2.226069473156314,2.209081770126826,0.008302788012965981,0.37270706160155215,0.16622719092639657,0.17477439758625726,0.060890995900049885,-0.19331814087169186,0.1684866449580437,0.4816005497089136,13.850000000000001,13.850000000000001,222861850.65588945
NGC3198,43,5,2.1754597816309404,2.174368168683393,0.014072809343037793,0.5216331519533441,0.07848646042448373,0.2543189814811753,0.1250115208925428,-0.3392741009806558,0.06300585312716685,0.3844139949131125,5.259999999999999,5.259999999999999,284176339.1599391
NGC3769,12,3,2.1412520781800217,2.1391256357488877,0.006290212543212745,0.546400571681721,0.09281366029619764,0.30586435108052396,0.17777873789933116,0.7676600086016322,0.1637676516074253,0.4783918190270296,5.799999999999999,5.799999999999999,123821242.45870626
NGC3917,17,4,2.225375092504513,2.2258564452124436,0.008025985166432449,0.4855926660136442,0.030762525970042007,0.21411745063476587,0.10336053188415611,-0.22754318036225626,0.10832077574636974,0.48636289547030614,2.6250000000000004,2.6250000000000004,168121561.79605794
NGC4010,12,3,2.334579553007335,2.3307892408563062,0.014007749814811529,0.49508838467848154,0.016587893392560553,0.1602889067540161,0.07937896382748799,0.0199793527621763,0.14891845367538856,0.498832788818407,2.620000000000001,2.620000000000001,91188656.95228384
NGC4013,36,5,2.1252709714603166,2.1239645712420008,0.0048353136251260195,0.49609275229190886,0.07893110111448227,0.18814133608173686,0.08492354827946232,-0.9067312878952425,0.08005236431154632,0.4181096864206538,4.42,4.42,610229883.7962602
NGC4088,12,3,2.12109938500992,2.122037353622292,0.0031696209911703035,0.49950009889229113,0.004496929005730538,0.2845006411780338,0.14136614264170708,-0.9212241228550094,0.1502220212043208,0.49930870500855157,5.24,5.24,1338497201.579239
NGC4157,17,4,2.2268638059964565,2.224060256157073,0.0073289171070476606,0.49730870188263715,0.019239965016544805,0.20689145811463103,0.10079379590707686,-0.830966179139513,0.10522987275086283,0.4751921089534175,5.2299999999999995,5.2299999999999995,119491006.83341289
NGC4183,23,5,2.2514120650391183,2.2511894110308788,0.010297933262693485,0.4933563572927532,0.04101368165632957,0.30366475554203115,0.14762443283878893,-0.7109223877605855,0.10006037752231482,0.48441815090024853,3.5,3.5,41664180.60558628
NGC5907,19,4,2.16086671598128,2.160374619489102,0.0028169510120898337,0.5064195225366169,0.02159632261944185,0.16779597136578384,0.08563460309389208,0.2808402243037839,0.11944371584538276,0.4898902834288724,10.07,10.07,56853720.71159631
NGC5985,33,5,2.1409455579805514,2.143363874547954,0.0037753120702927042,0.4746802463222948,0.06093468535812935,0.27895294167349766,0.1314178982919769,-0.38081632999734016,0.10939684074953189,0.548975927716887,4.4799999999999995,4.4799999999999995,480240442.70134723
UGC01281,25,5,2.7305281114276942,2.741812202012086,0.0919759491602518,0.44940821446959506,0.11167165600375971,0.5286287579286911,0.2223427577589916,-0.23886812230286886,0.15999446433062312,0.5691374094819779,2.0,2.0,9546723.325059151
UGC04278,25,5,2.51498757826277,2.5044471746398145,0.051923934998416486,0.5068998521301683,0.09187690842501393,0.36461303264705647,0.17987389243954252,-0.4451504891958819,0.1058430525733404,0.40488846775754433,2.0,2.0,31383623.388630666
UGC05721,23,5,2.3963527282698665,2.3874876875358417,0.14168483924844227,0.4850894132173866,0.06979507110508598,0.4341673197665485,0.21539447521518976,0.37752968907061596,0.09114380403280854,0.3968039585694855,2.0,2.0,338250959.87158346
UGC05750,11,2,2.2002487898092395,2.2002487898092395,0.0,0.0,0.0,0.3282843652183315,0.0,,0.0,0.0,10.905000000000001,10.905000000000001,8696545.294549238
UGC05986,15,3,2.188879812817919,2.1900642061708697,0.008566486533004982,0.4954785492821169,0.009496006527038055,0.3340296284544621,0.16649811971151754,0.8541257864496579,0.16847039058362817,0.49968823204745516,2.51,2.51,280998407.210728
UGC06667,9,2,2.3504146211299335,2.3504146211299335,0.0,0.0,0.0,0.6643232861368441,0.0,,0.0,0.0,3.0549999999999997,3.0549999999999997,5283780.848382281
UGC06917,11,2,2.1740266272968984,2.1740266272968984,0.0,0.0,0.0,0.287385999000979,0.0,,0.0,0.0,3.93,3.93,130149362.79198126
UGC07089,12,3,2.3338375871639054,2.3313177461817083,0.013503483377047293,0.5130091308271676,0.022011856907054275,0.17362566698812187,0.09099988356580148,0.8265707392288202,0.15059987930922744,0.4937511378495369,2.1799999999999997,2.1799999999999997,33142347.834162552
UGC08490,30,5,2.222434101871907,2.217294884534707,0.025159442831601497,0.5003552600433655,0.06166976084325769,0.47742093590852785,0.23738930946821063,-0.20993845671560232,0.10847171564853549,0.45008543691906705,2.0,2.0,141319636.07975358
UGC08837,8,2,2.241079153589413,2.241079153589413,0.0,0.0,0.0,0.22134213727346225,0.0,,0.0,0.0,2.0,2.0,115412041.66949572
UGC12506,31,5,2.092870371169788,2.094398771470325,0.0009009188259631908,0.5042550353678658,0.04223591557246944,0.3496857426105141,0.17536062836133873,-0.2819730956487303,0.10013604627863554,0.46445046080910496,8.200000000000001,8.200000000000001,399782756.29640204
