galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_DeltaD_i,mean_delta_v_i,M_gal,R_gal,eta_obs,ell_info_kpc,density_ref_gal_msun_per_kpc3
DDO168,9,2,2.2841906530715903,0.10762250956485397,0.15180946286566027,0.15000000000000002,0.3263395853481885,0.0489509378022283,,0.85,1.9769999999999999,75300744.96280545
ESO563-G021,26,5,2.0898387264367373,0.017069328710298003,9.589525437365252e-10,0.15000000000000002,0.34001203252250595,0.051001804878375905,,0.8499999999999999,8.5,4972515764.711152
IC4202,28,5,2.147029425853597,0.036824752083930566,0.0003804181291224536,0.15000000000000005,0.2410148019734089,0.036152220296011346,,0.85,3.9700000000000006,870273012.8993666
NGC0100,17,5,2.405069179446495,0.1359863979797785,0.2795102686227423,0.15000000000000002,0.30512000175676945,0.04576800026351543,,0.85,2.0,56584745.922046766
NGC2403,69,5,2.1830250312414097,0.074618590735259,0.07111330903866815,0.15000000000000005,0.21219374222185824,0.03182906133327874,,0.85,3.38,1357749636.4929445
NGC2683,10,2,2.2029389564334108,0.1849904057081675,0.22634290675663676,0.15000000000000005,0.18324459176092853,0.02748668876413929,,0.85,14.424999999999999,24312998.44047567
NGC2841,46,5,2.1636952457552936,0.07485608749846331,0.07305374978016702,0.15000000000000013,0.25402384559994196,0.03810357683999131,,0.85,12.240000000000002,607651636.969469
NGC2998,11,3,2.226069473156314,0.22787037020636713,0.39393741734120113,0.15000000000000005,0.19029386397380232,0.02854407959607035,,0.85,13.850000000000001,222861850.65588945
NGC3198,39,5,2.1754597816309404,0.0728659060543857,0.0492310045461115,0.15000000000000008,0.26425411369856583,0.03963811705478488,,0.8500000000000001,5.259999999999999,284176339.1599391
NGC3769,10,3,2.1412520781800217,0.12213373364093894,0.08457091851185333,0.15000000000000005,0.33186830768466413,0.04978024615269963,,0.85,5.799999999999999,123821242.45870626
NGC3917,14,4,2.225375092504513,0.05441203105514447,0.00997494124959658,0.15,0.21584548466374678,0.03237682269956201,,0.8499999999999999,2.6250000000000004,168121561.79605794
NGC4010,10,3,2.334579553007335,0.09769311973896277,0.2722955949781994,0.15,0.16044310470009046,0.024066465705013564,,0.85,2.620000000000001,91188656.95228384
NGC4013,32,5,2.1252709714603166,0.04196591875538851,0.004618575667509331,0.15000000000000002,0.1913169977793761,0.028697549666906415,,0.85,4.42,610229883.7962602
NGC4068,6,1,2.295121031684408,0.0,0.0,0.0,0.23167014543970335,0.0,,0.0,2.12,72804900.72936271
NGC4088,10,3,2.12109938500992,0.04497484612552172,0.00022914777947450672,0.15,0.2720048951816609,0.040800734277249145,,0.85,5.24,1338497201.579239
NGC4157,14,4,2.2268638059964565,0.08784681531381872,0.1138675208904642,0.15,0.2192733071215455,0.03289099606823183,,0.85,5.2299999999999995,119491006.83341289
NGC4183,19,5,2.2514120650391183,0.060720913255322806,0.05244233168955255,0.15000000000000002,0.3040036737626113,0.0456005510643917,,0.8499999999999999,3.5,41664180.60558628
NGC4389,6,1,2.2294507833895354,0.0,0.0,0.0,0.9893533787901543,0.0,,0.0,4.45,366126910.5563718
NGC5907,16,4,2.16086671598128,0.042164677820171026,0.001221634214041191,0.15,0.1752194298352236,0.02628291447528354,,0.8500000000000001,10.07,56853720.71159631
NGC5985,29,5,2.1409455579805514,0.03513319032728783,0.0009233879370471957,0.15000000000000005,0.28015358715160427,0.04202303807274066,,0.85,4.4799999999999995,480240442.70134723
UGC01281,21,5,2.7305281114276942,0.15404777325245989,0.2535493520291553,0.15,0.5541055778214945,0.0831158366732242,,0.85,2.0,9546723.325059151
UGC04278,21,5,2.51498757826277,0.13012459440714066,0.32218601846575334,0.15000000000000002,0.3644934326705441,0.054674014900581644,,0.85,2.0,31383623.388630666
UGC05721,19,5,2.3963527282698665,0.1966704196372869,0.2929949966336279,0.15,0.4308704316953633,0.06463056475430451,,0.85,2.0,338250959.87158346
UGC05750,10,2,2.2002487898092395,0.1932360320039792,0.23904499327883333,0.15,0.32353282463730815,0.04852992369559623,,0.85,10.905000000000001,8696545.294549238
UGC05986,13,3,2.188879812817919,0.053765618297356266,0.0030456423242588605,0.15000000000000008,0.3346199314463392,0.0501929897169509,,0.8499999999999999,2.51,280998407.210728
UGC06667,8,2,2.3504146211299335,0.10136600556891029,0.25779742000741773,0.15,0.6642593806804574,0.09963890710206862,,0.8500000000000001,3.0549999999999997,5283780.848382281
UGC06917,10,2,2.1740266272968984,0.07270884445441439,0.012738130554513515,0.14999999999999997,0.28465734972554546,0.0426986024588318,,0.8500000000000001,3.93,130149362.79198126
UGC07089,10,3,2.3338375871639054,0.07698665255659609,0.18296593697548383,0.15000000000000005,0.17795585336467523,0.02669337800470129,,0.8499999999999999,2.1799999999999997,33142347.834162552
UGC08490,26,5,2.222434101871907,0.08362784794122322,0.16614888805889064,0.15000000000000002,0.47581375458920994,0.07137206318838149,,0.85,2.0,141319636.07975358
UGC08837,7,2,2.241079153589413,0.01627559377506227,1.39051693831611e-07,0.14999999999999997,0.24710181763365166,0.037065272645047755,,0.85,2.0,115412041.66949572
UGC12506,27,5,2.092870371169788,0.021903421893353904,1.957593767483797e-07,0.15000000000000002,0.3529931238728141,0.052948968580922136,,0.85,8.200000000000001,399782756.29640204
UGCA281,7,1,2.9796012274239456,0.0,0.0,0.0,0.2810938055873572,0.0,,0.0,0.9900000000010001,18274882.84595335
