galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,eta_max,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
UGC11557,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC11557_normalized.csv,local_structural_coupling_v4,93.36051810163872,137.64049228621417,2.3658214716983132,2.63616582569981,0.593880981132209,0.46455563909758313,0.6253728624000089,0.4167000455142085,0.6955905415789956,134.42371495096424,computed_from_baryonic_velocity,24.206893730781648,0.9316781836762966,12,ok,
UGC02455,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02455_normalized.csv,local_structural_coupling_v4,67.87216019059083,89.63339792346544,2.2156855249609406,2.2984624954716395,0.4937903499739606,0.4473699300824521,0.5540129133117431,0.38828053625400066,0.588373399413542,487.6942077945181,computed_from_baryonic_velocity,28.102918003717615,0.8839270767439807,8,ok,
F571-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F571-8_normalized.csv,local_structural_coupling_v4,71.43527096860124,98.47663195987204,2.229978355771622,2.3370672799758414,0.5033189038477478,0.4594848119687719,0.5812614293961749,0.43528383270913523,0.7305736787268959,610.9270562083817,computed_from_baryonic_velocity,63.807293094721864,0.7723468653900111,13,ok,
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\CamB_normalized.csv,local_structural_coupling_v4,91.31381345092024,113.07345241242292,2.316067417951055,2.4293507130619973,0.5607116119673698,0.4552233978358848,0.5758833766322313,0.405859292270437,0.6477299757349896,104.2082801709764,computed_from_baryonic_velocity,6.1394647319555595,0.7244270596653221,9,ok,
NGC2915,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2915_normalized.csv,local_structural_coupling_v4,73.32578762127613,86.78837129334129,2.2291986886194572,2.2818058888831563,0.502799125746305,0.45445725576317547,0.5675466450495388,0.4521842452181246,0.5771059842619874,7.915078867618405,computed_from_baryonic_velocity,55.718824927814985,0.7111136610353775,30,ok,
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3741_normalized.csv,local_structural_coupling_v4,68.65445737030618,86.90270283113223,2.212324057953611,2.283945794086562,0.491549371969074,0.4105694269489394,0.5527687131338161,0.41243785959344254,0.5585430380862918,4.880283506515326,computed_from_baryonic_velocity,28.151502674498385,0.6713099653277879,21,ok,
UGC07399,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07399_normalized.csv,local_structural_coupling_v4,71.08067627146514,85.76124430672333,2.2221504228873123,2.2775643120539315,0.4981002819248748,0.4582065904696142,0.5649624131871929,0.46138512730699405,0.5793624992730813,48.97733884048492,computed_from_baryonic_velocity,61.88867099886501,0.6558132937372407,10,ok,
NGC1705,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC1705_normalized.csv,local_structural_coupling_v4,67.44142403717292,76.81797615666291,2.208081575159579,2.2410249770177257,0.488721050106386,0.4900433165584127,0.5559277194440015,0.5031907039234049,0.5714588372240681,86.99573816839518,computed_from_baryonic_velocity,47.308583185643,0.6555120223471068,14,ok,
UGC06667,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06667_normalized.csv,local_structural_coupling_v4,100.12973684118388,111.48500903474047,2.349014876160148,2.409716594478769,0.5826765841067654,0.4670697676922288,0.5757089891155656,0.3618173952314321,0.522354122596358,8.343898889979506,computed_from_baryonic_velocity,45.61226047644063,0.6509238298237252,9,ok,
UGC05764,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05764_normalized.csv,local_structural_coupling_v4,98.49796841572532,119.30491816913035,2.3507472475818956,2.47233801794117,0.5838314983879306,0.44665890826125515,0.5814211573409327,0.3943541903842941,0.6028094589833327,26.11941754260336,computed_from_baryonic_velocity,30.672019613373088,0.6422034760881644,10,ok,
