galaxy,n_points,chi2,reduced_chi2,rmse_kmps,mae_kmps,mean_abs_residual_kmps,max_abs_residual_kmps,status,source_file,rs_kpc
CamB,9,85.2602347635461,10.657529345443262,4.616823441597752,4.238341546495578,4.238341546495578,6.429388876683932,success,data\raw\sparc_csv\CamB.csv,1.5
D512-2,4,44.42579649505268,14.808598831684227,12.493950382400962,12.120965484666463,12.120965484666463,15.331847357401223,success,data\raw\sparc_csv\D512-2.csv,1.5
D564-8,6,171.0846872765243,34.21693745530486,10.049576841590154,8.922903097268849,8.922903097268849,14.60364967885364,success,data\raw\sparc_csv\D564-8.csv,1.5
D631-7,16,1408.0996752940875,93.8733116862725,24.5852323730351,20.37799317168824,20.37799317168824,37.44987909356721,success,data\raw\sparc_csv\D631-7.csv,1.5
DDO064,14,117.32468313000886,9.024975625385297,14.591505838594633,13.224739922391871,13.224739922391871,19.624220723660198,success,data\raw\sparc_csv\DDO064.csv,1.5
DDO154,12,65173.21126264126,5924.837387512842,22.680803776816237,20.60665307997355,20.60665307997355,29.92167950822615,success,data\raw\sparc_csv\DDO154.csv,1.5
DDO161,31,10061.08143490559,335.3693811635197,21.31489016029167,17.133985762300615,17.133985762300615,35.14706475954178,success,data\raw\sparc_csv\DDO161.csv,1.5
DDO168,10,1249.103788811374,138.78930986793046,18.767038568918075,15.870005761432296,15.870005761432296,26.511876158651656,success,data\raw\sparc_csv\DDO168.csv,1.5
DDO170,8,3927.752198160779,561.1074568801113,24.535484730575124,23.428157652526913,23.428157652526913,33.1257828996205,success,data\raw\sparc_csv\DDO170.csv,1.5
ESO079-G014,15,1654.3800429182456,118.17000306558897,28.886704382352235,24.316806338372494,24.316806338372494,47.33809660042448,success,data\raw\sparc_csv\ESO079-G014.csv,1.5
ESO116-G012,15,2783.658648058021,198.8327605755729,34.256228959673145,28.747439246225213,28.747439246225213,54.67824845662861,success,data\raw\sparc_csv\ESO116-G012.csv,1.5
ESO444-G084,7,1807.772735948683,301.29545599144717,31.693305766747677,29.141449409483805,29.141449409483805,45.920148987550576,success,data\raw\sparc_csv\ESO444-G084.csv,1.5
ESO563-G021,30,1798.4398480301343,62.01516717345291,62.80733039907749,55.24759167337859,55.24759167337859,114.81571501276872,success,data\raw\sparc_csv\ESO563-G021.csv,1.5
