column,non_null,null,fill_ratio,dtype
alias_confidence,0,231,0.0,float64
alias_source,0,231,0.0,float64
auto_exact_name_hint,0,231,0.0,float64
candidate_sparc_galaxy_id,0,231,0.0,float64
candidate_sparc_name_normalized,0,231,0.0,float64
review_notes,0,231,0.0,float64
sigma,46,185,0.199134,str
Dist_sample,50,181,0.21645,float64
UGC_sample,50,181,0.21645,float64
Vrot,50,181,0.21645,float64
Vsys,50,181,0.21645,float64
_DEJ2000_sample,50,181,0.21645,float64
_RAJ2000_sample,50,181,0.21645,float64
DEJ2000,231,0,1.0,str
Dist_survey1,231,0,1.0,float64
RAJ2000,231,0,1.0,str
Type,231,0,1.0,str
UGC_survey1,231,0,1.0,int64
_DEJ2000_survey1,231,0,1.0,float64
_RAJ2000_survey1,231,0,1.0,float64
alias_match_status,231,0,1.0,str
diskmass_display_name,231,0,1.0,str
diskmass_name_normalized,231,0,1.0,str
hR,231,0,1.0,float64
mu0,231,0,1.0,float64
sparc_reference_note,231,0,1.0,str
ugc_norm,231,0,1.0,str
