column,non_null,null,fill_ratio,dtype
e_Dmean,63,112,0.36,float64
3.6,75,100,0.428571,float64
4.5,75,100,0.428571,float64
M3.6,75,100,0.428571,float64
M4.5,75,100,0.428571,float64
PA,75,100,0.428571,float64
TT,75,100,0.428571,float64
amaj,75,100,0.428571,float64
c31,75,100,0.428571,float64
c42,75,100,0.428571,float64
e_3.6,75,100,0.428571,float64
e_4.5,75,100,0.428571,float64
e_TT,75,100,0.428571,float64
ell,75,100,0.428571,float64
logM*,75,100,0.428571,float64
DEJ2000,76,99,0.434286,float64
Dmean,76,99,0.434286,float64
Name,76,99,0.434286,str
RAJ2000,76,99,0.434286,float64
Vr,76,99,0.434286,float64
e_Vr,76,99,0.434286,float64
s4g_name_normalized,76,99,0.434286,str
catalog_number,174,1,0.994286,str
catalog_prefix,175,0,1.0,str
filename,175,0,1.0,str
filepath,175,0,1.0,str
galaxy_id,175,0,1.0,str
match_status,175,0,1.0,str
name_normalized,175,0,1.0,str
row_count,175,0,1.0,int64
source_expected,175,0,1.0,str
