galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,eta_max,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\CamB_normalized.csv,local_structural_coupling_v3,91.31381345092024,113.07345241242292,2.316067417951055,2.4293507130619973,0.5607116119673698,0.4552233978358848,0.5758833766322313,0.4551994417031397,0.5758728215720931,computed_from_baryonic_velocity,6.170797525160304,0.7071876554933637,9,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D512-2_normalized.csv,local_structural_coupling_v3,73.82218440792315,79.76738773839578,2.233766348552534,2.2569719041565155,0.5058442323683561,0.45173573701340203,0.5057763227317971,0.45012694078998117,0.5049428948578382,computed_from_baryonic_velocity,17.219623931468725,0.4642231246148517,4,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D564-8_normalized.csv,local_structural_coupling_v3,69.1711441501763,86.16362320666317,2.2214458887757105,2.28543589148399,0.4976305925171401,0.44929628597759064,0.5374651566156907,0.4488823787645895,0.5372397564747567,computed_from_baryonic_velocity,12.720641376223059,0.5673770727003851,6,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D631-7_normalized.csv,local_structural_coupling_v3,67.75820034003613,94.68054845295099,2.21507284389184,2.3178792302686517,0.4933818959278934,0.46167904863386333,0.5825771248408411,0.4599536875096252,0.578875675140093,computed_from_baryonic_velocity,30.51717666718407,0.5762487237969298,16,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO064_normalized.csv,local_structural_coupling_v3,74.33639505437108,84.75615759227647,2.232585030866132,2.2739757045871674,0.5050566872440881,0.4204009555368435,0.5392257950398573,0.4201320560325521,0.5387155978212083,computed_from_baryonic_velocity,17.5532914648479,0.42369382686477536,14,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO154_normalized.csv,local_structural_coupling_v3,85.74855222732413,117.4300965921254,2.297105802025079,2.451173735683009,0.5480705346833857,0.46080589859979887,0.5970448092806163,0.46005672805320247,0.5956750058446783,computed_from_baryonic_velocity,27.55207829855921,0.6206875631998722,12,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO161_normalized.csv,local_structural_coupling_v3,79.1182178786549,130.3718821619655,2.274152592077325,2.5468430302580396,0.5327683947182161,0.4345766201415337,0.6263685704217099,0.42190832638884174,0.6062953045743332,computed_from_baryonic_velocity,29.37954783206828,0.42965907051808466,31,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO168_normalized.csv,local_structural_coupling_v3,77.49143622175636,100.68312558656051,2.2525746394475954,2.3506722100632644,0.5183830929650635,0.4524513340835343,0.5719165129069659,0.45204815957509875,0.5710463588516452,computed_from_baryonic_velocity,25.724169904531532,0.45822568930102603,10,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO170_normalized.csv,local_structural_coupling_v3,96.00290058884244,126.14137755125444,2.365355728468983,2.527266077547631,0.5935704856459886,0.4783532617551629,0.5965004924123398,0.4594431235774119,0.5790328511128788,computed_from_baryonic_velocity,32.63551891454242,0.5827571679200104,8,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\ESO079-G014_normalized.csv,local_structural_coupling_v3,82.9914394761481,132.3371828334609,2.3051127868062435,2.577280231830729,0.5534085245374957,0.4459312279324459,0.619233493740589,0.35122116411298515,0.5156030256498011,computed_from_baryonic_velocity,45.579020054976226,0.2429947722127034,15,ok,
ESO116-G012,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\ESO116-G012_normalized.csv,local_structural_coupling_v3,72.7592986488845,113.24508439691638,2.2442892571758852,2.422559336573559,0.5128595047839236,0.44720386118179717,0.5941681007859544,0.4424051734780089,0.5870089330056757,computed_from_baryonic_velocity,49.83400333909737,0.4261712946509843,15,ok,
ESO444-G084,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\ESO444-G084_normalized.csv,local_structural_coupling_v3,96.03279900031364,125.16876404587933,2.3721851585370226,2.525591007897321,0.5981234390246816,0.47967857791853064,0.5890918961786309,0.4795124653670632,0.5889625462390509,computed_from_baryonic_velocity,36.67175065291852,0.6338030040279843,7,ok,
ESO563-G021,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\ESO563-G021_normalized.csv,local_structural_coupling_v3,70.85378177881759,118.01291519563463,2.246385937735824,2.448800790610341,0.5142572918238826,0.4519613946797133,0.615315308159989,0.19401759584505268,0.29232359340951947,computed_from_baryonic_velocity,80.86505132866527,0.3571032756291849,30,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F561-1_normalized.csv,local_structural_coupling_v3,83.15652184394082,98.12769843507499,2.277358421878328,2.3416136650488237,0.5349056145855517,0.46036696753190903,0.548570349743293,0.3279838397388285,0.4345007245302872,computed_from_baryonic_velocity,7.648924484686243,0.132542504681278,6,ok,
F563-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-1_normalized.csv,local_structural_coupling_v3,67.72379502892682,88.73426675679406,2.2101530741314486,2.2908603548135873,0.4901020494209657,0.4451331314826798,0.5729309361859729,0.24710503705079775,0.38667405021777235,computed_from_baryonic_velocity,61.7513695917568,0.6174189425374537,17,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V1_normalized.csv,local_structural_coupling_v3,72.14400594229768,80.22247537235424,2.2248548256128657,2.255580782283535,0.4999032170752436,0.44997125547134714,0.5338119985192964,0.4282764034310281,0.4891751094967503,computed_from_baryonic_velocity,5.093264414574974,0.17468858961489506,6,ok,
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V2_normalized.csv,local_structural_coupling_v3,83.41493337967054,98.44300191482327,2.271317099639441,2.3392196594734895,0.5308780664262941,0.43860768554662666,0.5615797015358538,0.42058701922245084,0.5210438736405488,computed_from_baryonic_velocity,60.463772625850865,0.5730437824172532,10,ok,
F565-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F565-V2_normalized.csv,local_structural_coupling_v3,90.99541852299099,106.14618109347683,2.3106346163716522,2.383598688596061,0.5570897442477681,0.4649914780926715,0.5633094101417189,0.3804459137764587,0.5080092017431618,computed_from_baryonic_velocity,42.3194657234326,0.585095393578318,7,ok,
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F567-2_normalized.csv,local_structural_coupling_v3,103.0871029698944,104.49338347795165,2.359827833175284,2.3675579033083465,0.589885222116856,0.4766959109687047,0.5469990846180455,0.35320917456934464,0.47141583483428756,computed_from_baryonic_velocity,17.542812339512583,0.36577832755422446,5,ok,
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F568-1_normalized.csv,local_structural_coupling_v3,86.72266066936845,97.53954064923812,2.2831751664615045,2.332322746853831,0.5387834443076697,0.43585292880941745,0.5673752685155773,0.33614949429102253,0.5673136988214698,computed_from_baryonic_velocity,63.55764805332304,0.5213077292301359,12,ok,
F568-3,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F568-3_normalized.csv,local_structural_coupling_v3,83.26892464484537,122.82378665009736,2.2848959337789037,2.4902647469540105,0.5399306225192687,0.42145206477220465,0.6041587223120467,0.3494776280704317,0.4183944252799336,computed_from_baryonic_velocity,42.16006742002339,0.40287255741571876,18,ok,
F568-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F568-V1_normalized.csv,local_structural_coupling_v3,89.68828777678159,126.47851709103202,2.316193470291763,2.523560832353047,0.5607956468611754,0.4408925637045221,0.6051046983342092,0.408413643910078,0.5306407926298724,computed_from_baryonic_velocity,65.69206272286327,0.6046807495514114,15,ok,
F571-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F571-8_normalized.csv,local_structural_coupling_v3,71.43527096860124,98.47663195987204,2.229978355771622,2.3370672799758414,0.5033189038477478,0.4594848119687719,0.5812614293961749,0.45104578915401156,0.5459885050310093,computed_from_baryonic_velocity,59.837528943040276,0.6977690174026082,13,ok,
F571-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F571-V1_normalized.csv,local_structural_coupling_v3,82.81592400439358,107.83152069375605,2.2880083156341384,2.399214860945514,0.5420055437560924,0.46222413895741343,0.5657510046458885,0.4299398026590055,0.5358346886864587,computed_from_baryonic_velocity,43.345895326607895,0.5202632677887559,7,ok,
F574-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-1_normalized.csv,local_structural_coupling_v3,79.23732670122857,81.87972320708364,2.2500931761975367,2.2608487601593468,0.516728784131691,0.41934880197803676,0.5488864935565855,0.3350000064025472,0.40018973918309825,computed_from_baryonic_velocity,44.95967345483527,0.4645930963830462,14,ok,
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-2_normalized.csv,local_structural_coupling_v3,81.4905916734755,83.99571952808947,2.259650169559952,2.2700769836110313,0.523100113039968,0.4568607335728715,0.5274690245340795,0.2863908130543257,0.5057267954741713,computed_from_baryonic_velocity,5.4892939049337075,0.17025356296995706,5,ok,
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F579-V1_normalized.csv,local_structural_coupling_v3,92.78556325137315,131.92289427418456,2.339853172888025,2.572504394238619,0.5765687819253499,0.4425726594850569,0.6142872619760217,0.4012015121801285,0.5542867636433249,computed_from_baryonic_velocity,53.04652800498771,0.5129862028697413,14,ok,
F583-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F583-1_normalized.csv,local_structural_coupling_v3,101.4417944170049,129.62713821192955,2.3747805742045203,2.540693552159101,0.5998537161363471,0.4725679944137765,0.6192561984027789,0.38021483468361966,0.619239486934792,computed_from_baryonic_velocity,36.55160734992749,0.5691916684716536,25,ok,
F583-4,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F583-4_normalized.csv,local_structural_coupling_v3,85.20213867490499,112.56634811472405,2.287100959555045,2.4222281945491075,0.5414006397033632,0.43343615375736194,0.5791878907593666,0.42860006049079535,0.5759248324140906,computed_from_baryonic_velocity,28.049870371556487,0.44801423641077637,12,ok,
IC2574,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\IC2574_normalized.csv,local_structural_coupling_v3,84.62588654565366,104.6011437037273,2.279942267166492,2.3715516531309024,0.5366281781109946,0.4635144764465524,0.5710069643756421,0.3850983065057174,0.5669182870809999,computed_from_baryonic_velocity,22.04509101324608,0.37133277807337467,34,ok,
IC4202,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\IC4202_normalized.csv,local_structural_coupling_v3,67.36304581295455,101.91023185730086,2.2149709390891728,2.353808351447477,0.49331395939278205,0.44108203444800637,0.5921454748275744,0.3076514808037709,0.38069212759447113,computed_from_baryonic_velocity,55.836134390684215,0.30412485860228444,32,ok,
KK98-251,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\KK98-251_normalized.csv,local_structural_coupling_v3,84.19564493520208,103.65229635238144,2.2762114001520413,2.3720560468861636,0.5341409334346938,0.40887466053211496,0.5562302952174728,0.3871379916593746,0.5560693348192277,computed_from_baryonic_velocity,10.123466711583264,0.25548305607097105,15,ok,
NGC0024,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0024_normalized.csv,local_structural_coupling_v3,93.3282742770252,146.2307502277071,2.3672646137345605,2.731897792153587,0.5948430758230401,0.4455647132664505,0.666732621875575,0.44377582482410355,0.6569425115456212,computed_from_baryonic_velocity,45.04924087273893,0.40008013884209,29,ok,
NGC0055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0055_normalized.csv,local_structural_coupling_v3,69.1057398564188,92.22405068275494,2.2205540344125723,2.3072547880764254,0.49703602294171506,0.4819669571596361,0.5738296663624238,0.39012954110331277,0.512985336156424,computed_from_baryonic_velocity,34.681336186373564,0.41029232777059316,21,ok,
NGC0100,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0100_normalized.csv,local_structural_coupling_v3,64.85233616380755,89.74303355216958,2.204833008214001,2.2949057333590472,0.4865553388093338,0.46454984909670705,0.5802830120324867,0.4512647475288376,0.5661922011830374,computed_from_baryonic_velocity,39.37179073180379,0.47275769734194234,21,ok,
NGC0247,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0247_normalized.csv,local_structural_coupling_v3,89.0672816285484,144.57940568397967,2.3438799608827807,2.7070641689316197,0.5792533072551872,0.4376925844926975,0.6584185235309427,0.3624750187097917,0.6113226761890778,computed_from_baryonic_velocity,45.152666661444066,0.47335205429097854,26,ok,
NGC0289,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0289_normalized.csv,local_structural_coupling_v3,73.12073745857366,94.4340436991468,2.2308401556463524,2.3165289467097803,0.5038934370975682,0.47671832318427043,0.5838620055555772,0.08116924106458194,0.17580197690785743,computed_from_baryonic_velocity,58.597527563054385,0.31579181967492226,28,ok,
