galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC3109,0.26,6.1,1.6,1.0,2.78,0.0,143.11538461538458
NGC3109,0.52,11.2,0.7,2.12,4.73,0.0,241.2307692307692
NGC3109,0.77,14.9,1.5,4.53,7.0,0.0,288.32467532467535
NGC3109,1.03,19.1,2.2,6.54,8.59,0.0,354.1844660194175
NGC3109,1.29,24.3,0.9,8.22,10.63,0.0,457.74418604651163
NGC3109,1.55,29.8,1.9,10.06,11.72,0.0,572.9290322580646
NGC3109,1.81,34.3,1.6,11.73,12.56,0.0,649.9944751381214
NGC3109,2.06,38.2,3.5,12.92,13.39,0.0,708.368932038835
NGC3109,2.32,42.5,5.6,13.76,13.69,0.0,778.5560344827587
NGC3109,2.58,42.3,3.0,14.44,13.73,0.0,693.5232558139534
NGC3109,2.84,47.3,4.4,15.04,13.74,0.0,787.7781690140844
NGC3109,3.1,49.3,4.0,15.37,14.32,0.0,784.0290322580644
NGC3109,3.35,50.6,3.5,15.75,15.08,0.0,764.2865671641791
NGC3109,3.61,53.0,3.5,16.29,15.34,0.0,778.1163434903048
NGC3109,3.87,54.7,3.3,16.37,14.77,0.0,773.1498708010336
NGC3109,4.13,55.2,3.1,16.42,14.16,0.0,737.7820823244554
NGC3109,4.38,57.5,2.6,16.88,13.87,0.0,754.851598173516
NGC3109,4.64,59.1,2.4,17.22,13.96,0.0,752.760775862069
NGC3109,4.9,61.2,1.9,17.66,14.01,0.0,764.3755102040817
NGC3109,5.16,62.7,1.9,18.09,14.01,0.0,761.8779069767443
NGC3109,5.42,64.4,2.9,18.73,13.96,0.0,765.1955719557196
NGC3109,5.67,66.6,3.2,19.3,13.99,0.0,782.2857142857142
NGC3109,5.93,66.3,3.4,19.36,13.93,0.0,741.2630691399662
NGC3109,6.19,66.2,3.2,19.43,13.15,0.0,707.9870759289176
NGC3109,6.45,67.3,3.0,19.41,12.62,0.0,702.2155038759689
