galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGCA444,0.12,6.48,2.6,-0.66,2.2,0.0,349.9200000000001
UGCA444,0.19,8.6,2.65,0.47,2.24,0.0,389.2631578947368
UGCA444,0.26,10.2,3.03,1.82,2.72,0.0,400.15384615384613
UGCA444,0.33,11.7,3.55,3.08,2.9,0.0,414.81818181818176
UGCA444,0.4,12.7,3.75,4.2,2.92,0.0,403.22499999999997
UGCA444,0.47,14.1,3.43,5.32,3.03,0.0,423.00000000000006
UGCA444,0.55,16.0,3.33,6.65,3.44,0.0,465.45454545454544
UGCA444,0.62,18.1,2.66,7.97,3.69,0.0,528.4032258064517
UGCA444,0.69,21.2,3.78,9.25,3.81,0.0,651.3623188405797
UGCA444,0.76,21.6,3.33,10.36,3.95,0.0,613.8947368421053
UGCA444,0.83,23.3,3.09,11.58,4.15,0.0,654.0843373493976
UGCA444,0.9,24.5,3.26,12.39,4.32,0.0,666.9444444444445
UGCA444,0.97,24.4,3.29,13.1,4.46,0.0,613.7731958762886
UGCA444,1.04,25.3,2.78,13.71,4.57,0.0,615.4711538461538
UGCA444,1.11,25.4,2.78,14.22,4.69,0.0,581.2252252252251
UGCA444,1.19,25.9,2.73,14.63,4.81,0.0,563.7058823529411
UGCA444,1.26,26.7,2.67,14.83,4.88,0.0,565.7857142857142
UGCA444,1.33,27.1,3.16,15.03,4.95,0.0,552.187969924812
UGCA444,1.4,28.6,3.34,15.13,5.03,0.0,584.2571428571429
UGCA444,1.48,28.9,3.21,15.24,5.09,0.0,564.331081081081
UGCA444,1.55,30.4,4.14,15.34,5.13,0.0,596.2322580645161
UGCA444,1.62,30.8,4.35,15.54,5.17,0.0,585.5802469135803
UGCA444,1.69,30.5,4.56,15.54,5.21,0.0,550.4437869822485
UGCA444,1.75,33.0,4.04,15.54,5.22,0.0,622.2857142857143
UGCA444,1.83,32.1,4.35,15.64,5.25,0.0,563.0655737704918
UGCA444,1.9,32.9,4.36,15.64,5.28,0.0,569.6894736842105
UGCA444,1.97,34.2,4.9,15.64,5.3,0.0,593.7258883248732
UGCA444,2.04,32.6,3.98,15.64,5.31,0.0,520.9607843137255
UGCA444,2.11,33.7,4.73,15.74,5.33,0.0,538.2417061611376
UGCA444,2.19,33.8,4.67,15.64,5.35,0.0,521.6621004566209
UGCA444,2.26,34.9,3.74,15.64,5.36,0.0,538.9424778761063
UGCA444,2.33,36.1,5.47,15.64,5.39,0.0,559.3175965665235
UGCA444,2.4,37.2,5.39,15.24,5.42,0.0,576.6000000000001
UGCA444,2.48,37.6,7.1,14.73,5.5,0.0,570.0645161290323
UGCA444,2.55,35.6,4.73,14.22,5.46,0.0,497.00392156862756
UGCA444,2.62,38.3,7.78,13.81,5.25,0.0,559.8816793893129
