galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
DDO161,0.6,16.0,3.53,6.82,12.59,0.0,426.6666666666667
DDO161,0.73,16.6,4.83,8.12,14.22,0.0,377.4794520547946
DDO161,0.85,18.6,2.5,9.3,15.27,0.0,407.0117647058824
DDO161,0.98,20.0,7.58,10.41,17.04,0.0,408.16326530612247
DDO161,1.07,21.4,4.03,11.27,18.03,0.0,427.9999999999999
DDO161,1.54,28.9,2.74,15.22,22.44,0.0,542.3441558441558
DDO161,2.02,32.9,2.65,18.74,24.92,0.0,535.8465346534653
DDO161,2.49,35.2,2.88,21.52,25.85,0.0,497.6064257028113
DDO161,2.96,37.6,3.05,23.28,26.01,0.0,477.6216216216217
DDO161,3.43,40.6,3.68,24.59,25.36,0.0,480.5714285714286
DDO161,3.9,42.7,3.25,25.62,25.01,0.0,467.5102564102565
DDO161,4.37,45.5,2.99,26.35,24.48,0.0,473.74141876430207
DDO161,4.86,48.9,1.96,27.08,23.7,0.0,492.0185185185185
DDO161,5.34,51.5,1.53,27.81,22.69,0.0,496.6760299625468
DDO161,5.81,53.0,1.86,28.4,21.59,0.0,483.4767641996558
DDO161,6.28,55.0,1.48,28.98,20.86,0.0,481.68789808917194
DDO161,6.75,57.6,0.99,29.57,20.11,0.0,491.52000000000004
DDO161,7.22,59.7,1.19,30.3,19.38,0.0,493.6412742382272
DDO161,7.69,60.5,1.26,31.18,18.7,0.0,475.9752925877763
DDO161,8.16,61.8,1.33,32.06,18.06,0.0,468.0441176470588
DDO161,8.64,62.9,1.35,32.64,17.47,0.0,457.917824074074
DDO161,9.11,63.0,2.09,33.23,16.94,0.0,435.6750823271131
DDO161,9.58,64.5,2.38,33.38,16.44,0.0,434.2640918580376
DDO161,10.05,65.6,1.08,33.38,15.98,0.0,428.1950248756218
DDO161,10.52,67.5,3.22,32.79,15.57,0.0,433.1036121673004
DDO161,10.99,66.8,2.37,32.06,15.18,0.0,406.0272975432211
DDO161,11.46,66.8,0.95,31.18,14.81,0.0,389.3752181500872
DDO161,11.94,66.6,0.96,30.3,14.47,0.0,371.4874371859296
DDO161,12.41,66.8,0.99,29.42,14.16,0.0,359.5680902497985
DDO161,12.9,66.3,0.74,28.69,13.86,0.0,340.7511627906976
DDO161,13.37,66.1,1.31,27.81,13.59,0.0,326.792071802543
