galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC07603,0.34,19.6,2.89,4.29,19.73,0.0,1129.8823529411766
UGC07603,0.68,32.5,2.89,6.17,28.0,0.0,1553.3088235294117
UGC07603,1.02,41.9,2.89,5.94,31.57,0.0,1721.1862745098038
UGC07603,1.37,50.6,2.89,8.81,31.98,0.0,1868.8759124087592
UGC07603,1.71,57.0,2.89,15.21,31.44,0.0,1900.0
UGC07603,2.05,60.5,2.89,17.87,29.65,0.0,1785.487804878049
UGC07603,2.39,60.5,2.89,17.46,27.89,0.0,1531.4853556485355
UGC07603,2.74,60.0,2.89,15.96,26.14,0.0,1313.868613138686
UGC07603,3.08,61.5,2.89,15.55,24.58,0.0,1228.0032467532467
UGC07603,3.42,61.5,2.89,16.29,23.19,0.0,1105.921052631579
UGC07603,3.76,63.0,2.89,16.96,21.99,0.0,1055.585106382979
UGC07603,4.11,64.0,2.89,17.21,20.84,0.0,996.5936739659367
