galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC4100,2.61,120.0,10.5,5.71,126.18,0.0,5517.241379310345
NGC4100,3.5,148.0,7.5,9.28,135.14,0.0,6258.285714285715
NGC4100,4.37,168.0,6.2,13.15,152.52,0.0,6458.58123569794
NGC4100,5.24,182.0,6.1,16.38,177.98,0.0,6321.374045801526
NGC4100,6.11,190.0,5.2,19.18,196.88,0.0,5908.346972176759
NGC4100,6.98,194.0,5.7,21.66,207.03,0.0,5391.977077363897
NGC4100,7.85,195.0,6.1,23.38,198.89,0.0,4843.949044585987
NGC4100,8.72,193.0,4.8,24.46,191.25,0.0,4271.674311926605
NGC4100,9.6,192.0,3.9,25.0,180.26,0.0,3840.0
NGC4100,10.47,192.0,3.5,25.65,169.65,0.0,3520.916905444126
NGC4100,11.35,191.0,4.4,26.73,162.03,0.0,3214.185022026432
NGC4100,12.19,189.0,4.8,28.34,157.28,0.0,2930.352748154225
NGC4100,13.12,185.0,5.3,30.6,152.13,0.0,2608.612804878049
NGC4100,13.94,182.0,4.5,32.54,146.63,0.0,2376.1836441893834
NGC4100,14.86,179.0,6.6,34.38,141.01,0.0,2156.191117092867
NGC4100,15.68,176.0,6.2,36.42,136.34,0.0,1975.5102040816328
NGC4100,16.61,174.0,6.6,38.36,131.69,0.0,1822.7573750752558
NGC4100,17.42,178.0,8.7,38.9,128.17,0.0,1818.828932261768
NGC4100,18.35,177.0,6.2,37.93,124.63,0.0,1707.3024523160761
NGC4100,19.16,169.0,5.9,36.96,121.38,0.0,1490.6576200417537
NGC4100,20.09,158.0,6.3,36.1,117.8,0.0,1242.6082628173222
NGC4100,21.02,158.0,7.6,34.92,114.69,0.0,1187.6308277830638
NGC4100,21.95,158.0,8.9,33.73,111.9,0.0,1137.3120728929384
NGC4100,22.76,159.0,9.0,32.65,109.45,0.0,1110.7644991212653
