galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
F579-V1,0.42,35.7,9.1,-1.7,15.39,0.0,3034.5000000000005
F579-V1,1.47,83.3,9.3,-4.3,40.7,0.0,4720.333333333333
F579-V1,2.11,94.2,10.4,-3.8,48.7,0.0,4205.5165876777255
F579-V1,2.84,97.6,9.1,-0.8,53.6,0.0,3354.140845070422
F579-V1,3.9,101.0,9.1,5.9,57.61,0.0,2615.641025641026
F579-V1,4.74,105.0,16.7,10.47,63.1,0.0,2325.9493670886077
F579-V1,5.69,106.0,9.1,13.24,67.96,0.0,1974.6924428822495
F579-V1,6.32,108.0,11.5,14.88,69.85,0.0,1845.5696202531644
F579-V1,7.37,110.0,23.0,17.96,72.36,0.0,1641.7910447761194
F579-V1,8.21,112.0,19.7,20.83,72.55,0.0,1527.8928136419
F579-V1,9.16,113.0,9.1,23.19,73.73,0.0,1393.995633187773
F579-V1,10.85,114.0,9.1,26.37,73.37,0.0,1197.7880184331798
F579-V1,12.21,114.0,9.1,28.32,69.96,0.0,1064.3734643734642
F579-V1,15.16,114.0,11.2,33.04,63.57,0.0,857.2559366754617
