galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC0891,0.92,234.0,12.0,-5.19,121.44,254.98,59517.391304347824
NGC0891,2.32,192.0,12.0,-10.42,280.89,185.98,15889.655172413793
NGC0891,3.24,212.0,6.3,-11.44,325.09,158.37,13871.604938271605
NGC0891,4.17,223.0,4.41,-11.64,311.44,139.66,11925.419664268586
NGC0891,5.1,222.0,4.01,-11.54,293.95,126.35,9663.529411764706
NGC0891,6.03,224.0,3.85,-11.44,280.55,116.3,8321.06135986733
NGC0891,6.96,224.0,3.23,-9.02,271.7,108.06,7209.19540229885
NGC0891,7.89,226.0,3.4,6.44,260.33,101.6,6473.510773130545
NGC0891,8.8,226.0,3.21,16.24,254.4,96.17,5804.090909090909
NGC0891,9.73,227.0,2.75,25.64,241.26,91.46,5295.889003083247
NGC0891,10.64,227.0,2.65,32.27,231.49,87.46,4842.951127819549
NGC0891,11.58,224.0,2.35,35.44,224.36,83.84,4332.987910189982
NGC0891,12.52,220.0,2.43,42.18,213.5,80.63,3865.8146964856232
NGC0891,13.46,218.0,2.3,46.37,208.0,77.76,3530.75780089153
NGC0891,14.4,217.0,2.77,49.33,200.84,75.18,3270.0694444444443
NGC0891,15.33,216.0,4.43,49.33,193.84,72.86,3043.4442270058707
NGC0891,16.27,210.0,4.47,47.29,188.07,70.73,2710.5101413644747
NGC0891,17.11,208.0,4.35,45.04,182.56,68.97,2528.5797779076565
