galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC3769,1.74,87.5,9.4,11.85,126.23,0.0,4400.14367816092
NGC3769,3.5,106.0,7.1,22.09,136.2,0.0,3210.285714285714
NGC3769,5.24,116.0,5.3,28.99,123.81,0.0,2567.93893129771
NGC3769,6.98,125.0,5.7,34.81,109.91,0.0,2238.538681948424
NGC3769,8.72,126.0,4.4,36.96,98.62,0.0,1820.6422018348624
NGC3769,10.47,123.0,4.4,36.75,89.83,0.0,1444.9856733524355
NGC3769,12.31,118.0,4.6,34.7,83.14,0.0,1131.1129163281885
NGC3769,14.52,115.0,6.4,34.16,76.18,0.0,910.8126721763085
NGC3769,17.07,122.0,15.2,34.92,70.2,0.0,871.9390743995314
NGC3769,31.82,121.0,10.2,33.73,50.64,0.0,460.1194217473287
NGC3769,34.61,118.0,10.4,32.54,48.51,0.0,402.31147067321587
NGC3769,37.16,113.0,10.5,31.57,46.75,0.0,343.62217438105495
