galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC6946,0.19,153.0,8.0,0.96,24.4,233.17,123205.26315789473
NGC6946,0.56,130.0,9.0,2.86,62.52,168.53,30178.571428571424
NGC6946,0.94,128.0,3.0,4.5,91.94,137.01,17429.787234042553
NGC6946,1.22,134.0,3.0,5.34,109.48,120.39,14718.032786885246
NGC6946,1.59,129.0,4.0,6.46,127.82,105.47,10466.037735849057
NGC6946,1.96,131.0,7.0,6.51,138.39,94.99,8755.612244897959
NGC6946,2.34,138.0,8.0,6.51,151.17,86.94,8138.461538461539
NGC6946,2.71,139.0,5.0,6.44,166.55,80.79,7129.520295202952
NGC6946,2.99,143.0,3.0,6.38,170.5,76.91,6839.130434782608
NGC6946,3.37,146.0,2.0,7.55,177.07,72.44,6325.222551928783
NGC6946,3.74,154.0,2.0,10.54,180.71,68.77,6341.176470588235
NGC6946,4.12,161.0,1.0,12.86,184.13,65.52,6291.504854368932
NGC6946,4.4,167.0,2.0,13.54,187.91,63.4,6338.40909090909
NGC6946,4.77,173.0,2.0,14.41,193.15,60.89,6274.423480083858
NGC6946,5.15,176.0,4.0,17.51,197.95,58.6,6014.757281553398
NGC6946,5.52,178.0,5.0,20.8,204.45,56.6,5739.855072463769
NGC6946,5.89,180.0,3.0,23.41,204.89,54.8,5500.848896434635
NGC6946,6.17,179.0,4.0,25.15,201.57,53.54,5193.030794165316
NGC6946,6.55,180.0,5.0,27.66,200.86,51.96,4946.564885496184
NGC6946,6.92,181.0,4.0,31.15,201.34,50.55,4734.248554913295
NGC6946,7.3,179.0,4.0,34.05,198.33,49.22,4389.178082191781
NGC6946,7.58,179.0,2.0,34.92,194.96,48.3,4227.0448548812665
NGC6946,7.95,179.0,1.0,35.89,189.92,47.17,4030.314465408805
NGC6946,8.33,178.0,1.0,37.34,184.93,46.08,3803.6014405762303
NGC6946,8.7,177.0,2.0,38.88,182.77,45.09,3601.034482758621
NGC6946,9.08,176.0,2.0,39.08,181.24,44.13,3411.453744493392
NGC6946,9.36,173.0,3.0,38.4,179.87,43.47,3197.5427350427353
NGC6946,9.73,172.0,2.0,37.72,177.19,42.63,3040.4933196300103
NGC6946,10.1,172.0,2.0,37.43,174.69,41.85,2929.108910891089
NGC6946,10.48,170.0,2.0,37.14,171.99,41.08,2757.6335877862593
NGC6946,10.76,171.0,2.0,36.66,170.15,40.54,2717.565055762082
NGC6946,11.13,174.0,2.0,35.89,167.51,39.86,2720.2156334231804
NGC6946,11.51,174.0,2.0,36.08,164.95,39.2,2630.4083405734145
NGC6946,11.88,175.0,2.0,36.76,162.35,38.58,2577.861952861953
NGC6946,12.26,174.0,2.0,37.82,159.81,37.98,2469.494290375204
NGC6946,12.54,173.0,6.0,38.79,158.0,37.55,2386.6826156299844
NGC6946,12.91,173.0,6.0,40.14,155.62,37.01,2318.280402788536
NGC6946,13.29,173.0,8.0,42.08,153.17,36.48,2251.9939804364185
NGC6946,13.66,175.0,9.0,44.01,150.89,35.98,2241.9472913616396
NGC6946,14.03,174.0,9.0,45.46,148.68,35.5,2157.9472558802568
NGC6946,14.31,171.0,9.0,46.53,147.06,35.16,2043.3962264150944
NGC6946,14.69,167.0,8.0,45.94,144.87,34.7,1898.5023825731791
NGC6946,15.06,165.0,7.0,44.59,142.8,34.27,1807.7689243027887
NGC6946,15.44,163.0,8.0,44.01,140.8,33.84,1720.7901554404145
NGC6946,15.72,162.0,8.0,44.2,139.35,33.54,1669.4656488549617
NGC6946,16.09,161.0,9.0,33.85,137.46,33.15,1611.0006215040398
NGC6946,16.47,159.0,10.0,33.85,135.59,32.77,1534.9726775956285
NGC6946,16.84,158.0,10.0,33.85,133.88,32.41,1482.4228028503562
NGC6946,17.21,157.0,10.0,33.85,132.2,32.06,1432.2486926205693
NGC6946,17.5,157.0,10.0,33.85,130.89,31.79,1408.5142857142857
NGC6946,17.87,157.0,9.0,33.85,129.3,31.46,1379.3508673754895
NGC6946,18.24,160.0,11.0,33.85,127.8,31.14,1403.5087719298247
NGC6946,18.62,159.0,12.0,33.85,126.3,30.82,1357.7336197636948
NGC6946,18.9,160.0,14.0,33.85,125.2,30.59,1354.4973544973545
NGC6946,19.27,158.0,16.0,33.85,123.92,30.3,1295.4852101712506
NGC6946,19.65,155.0,18.0,33.85,122.75,30.0,1222.64631043257
NGC6946,20.02,157.0,19.0,33.85,121.08,29.72,1231.2187812187813
NGC6946,20.4,154.0,21.0,33.85,119.5,29.44,1162.5490196078433
