galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC07524,0.35,14.4,2.82,-0.61,15.45,0.0,592.4571428571429
UGC07524,0.69,24.4,3.97,-1.22,17.95,0.0,862.8405797101449
UGC07524,1.03,29.2,3.26,-2.04,20.19,0.0,827.8058252427184
UGC07524,1.38,32.9,3.73,-1.72,21.43,0.0,784.3550724637681
UGC07524,1.72,37.8,3.41,3.47,22.82,0.0,830.720930232558
UGC07524,2.07,42.0,3.12,3.53,25.15,0.0,852.1739130434784
UGC07524,2.41,45.1,2.92,4.13,26.82,0.0,843.98755186722
UGC07524,2.76,47.6,2.79,6.88,28.98,0.0,820.9275362318842
UGC07524,3.1,52.3,2.78,9.39,30.06,0.0,882.3516129032256
UGC07524,3.45,57.3,2.78,11.99,30.89,0.0,951.6782608695651
UGC07524,3.79,61.4,2.93,14.78,31.14,0.0,994.7124010554089
UGC07524,4.14,64.5,3.42,16.87,32.08,0.0,1004.8913043478261
UGC07524,4.48,66.4,4.53,18.27,32.77,0.0,984.1428571428572
UGC07524,4.82,66.9,5.46,19.32,33.02,0.0,928.5497925311204
UGC07524,5.17,69.4,4.77,19.78,33.86,0.0,931.5976789168279
UGC07524,5.51,70.2,4.44,19.55,34.37,0.0,894.3811252268603
UGC07524,5.86,70.9,4.24,19.78,34.15,0.0,857.8174061433448
UGC07524,6.2,72.3,4.38,20.48,34.36,0.0,843.1112903225807
UGC07524,6.55,73.9,3.51,21.53,34.78,0.0,833.7725190839697
UGC07524,6.89,75.0,3.22,22.81,35.14,0.0,816.400580551524
UGC07524,7.25,75.5,3.23,24.09,35.58,0.0,786.2413793103449
UGC07524,7.58,77.1,2.98,25.37,36.1,0.0,784.2229551451186
UGC07524,7.94,77.0,2.79,26.77,36.68,0.0,746.7254408060453
UGC07524,8.27,77.0,2.82,28.28,37.11,0.0,716.9286577992746
UGC07524,8.63,78.2,2.93,29.91,37.49,0.0,708.6025492468135
UGC07524,8.97,79.6,3.14,31.07,37.76,0.0,706.3723522853956
UGC07524,9.3,80.3,3.39,32.12,37.98,0.0,693.3430107526881
UGC07524,9.66,81.2,3.66,33.05,38.12,0.0,682.5507246376812
UGC07524,9.99,82.3,3.9,33.75,38.33,0.0,678.007007007007
UGC07524,10.35,83.8,4.1,34.21,38.96,0.0,678.4966183574879
UGC07524,10.69,79.0,2.78,34.56,38.32,0.0,583.8166510757718
