galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode,beta_ceiling_theory
NGC4100,2.61,120.0,10.5,0.0,6112.6423371647525,0.0,6112.6423371647525,126.30913070716623,0.0,126.30913070716623,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,3.5,148.0,7.5,0.16998624511992189,5242.553714285713,4264520646.4295506,4264525888.983265,135.4582518711946,122171.28247875368,122171.35757386601,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,4.37,168.0,6.2,0.17812552537679646,5362.762677345539,3579061872.9253745,3579067235.6880517,153.08583507300733,125061.98616959466,125062.079864189,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,5.24,182.0,6.1,0.03591758158518199,6096.409312977098,601866657.7489698,601872754.1582828,178.7321593894059,56158.5370767847,56158.82149573121,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,6.11,190.0,5.2,0.0,6404.190965630114,0.0,6404.190965630114,197.8120491780013,0.0,197.8120491780013,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,6.98,194.0,5.7,0.0,6207.818982808022,0.0,6207.818982808022,208.15997814181284,0.0,208.15997814181284,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,7.85,195.0,6.1,0.0,5108.77152866242,0.0,5108.77152866242,200.25947293449065,0.0,200.25947293449065,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,8.72,193.0,4.8,0.001991549892187218,4263.171341743118,20053915.97112736,20058179.142469104,192.80781649092964,13223.847672603863,13225.253196908201,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,9.6,192.0,3.9,0.10444529907428036,3449.8612083333337,955305217.6349913,955308667.4961996,181.98534995982507,95764.9731858988,95765.14610213632,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,10.47,192.0,3.5,0.2137057867276722,2811.7521489971346,1792231414.604048,1792234226.356197,171.5781017496114,136984.1702931561,136984.27774729984,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,11.35,191.0,4.4,0.2826408292416934,2376.054079295154,2186570688.8768835,2186573064.930963,164.22001644135833,157535.95563791977,157536.04123173348,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,12.19,189.0,4.8,0.3118303986111835,2095.1726004922066,2246152450.2066016,2246154545.379202,159.81287182201564,165470.8384218152,165470.9155959816,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,13.12,185.0,5.3,0.32579503981285596,1835.3579954268293,2180394700.977083,2180396536.3350787,155.1769857291989,169135.38505238734,169135.4562376447,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,13.94,182.0,4.5,0.353804237066176,1618.3076398852224,2228562102.0409083,2228563720.3485484,150.1972319984626,176255.93806294943,176256.00205853634,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
NGC4100,14.86,179.0,6.6,0.3838256224500947,1417.618068640646,2267982182.8888535,2267983600.5069222,145.1406369698025,183581.63099212394,183581.6883666039,,137678356284.4946,87806058966.55673,True,4.463246861619357,0.6377622549844858,formula,154319506009.68796
