r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.45,18.9,65.19,9.78,ESO563-G021,0.0,65.19,0.0,793.7999999999998,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,1,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9299681453968179,0.5,0.0630747465220467,1.1167792909507306,0.0630747465220467,1204.9159858811795,0.6509593294438544,63.51017746142723,5686.783588421599,63.50753715912233,9443.858,9507.365537159123,65.40882579378417,-46.508825793784176,-46.29
1.34,58.3,120.17,10.5,ESO563-G021,0.0,120.17,0.0,2536.4850746268653,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,1,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9299681453968179,0.5,0.0630747465220467,1.1167792909507306,0.0630747465220467,1204.9159858811795,0.6509593294438544,63.51017746142723,5686.783588421599,63.50753715912233,10776.737985074627,10840.24552223375,120.52356201089157,-62.22356201089157,-61.870000000000005
2.23,74.1,137.48,5.69,ESO563-G021,0.0,137.48,0.0,2462.2466367713,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,1,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9299681453968179,0.5,0.0630747465220467,1.1167792909507306,0.0630747465220467,1204.9159858811795,0.6509593294438544,63.51017746142723,5686.783588421599,63.50753715912233,8475.672825112106,8539.180362271229,137.99410207637442,-63.89410207637442,-63.379999999999995
3.12,119.0,146.18,4.27,ESO563-G021,0.0,146.18,0.0,4538.782051282051,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,1,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9299681453968179,0.5,0.0630747465220467,1.1167792909507306,0.0630747465220467,1204.9159858811795,0.6509593294438544,63.51017746142723,5686.783588421599,63.50753715912233,6848.907820512821,6912.415357671943,146.8561742520091,-27.85617425200911,-27.180000000000007
4.01,141.0,157.86,3.76,ESO563-G021,0.0,157.86,0.0,4957.85536159601,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,1,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9299681453968179,0.5,0.0630747465220467,1.1167792909507306,0.0630747465220467,1204.9159858811795,0.6509593294438544,63.51017746142723,5686.783588421599,63.50753715912233,6214.408877805488,6277.91641496461,158.66456700854192,-17.664567008541923,-16.860000000000014
5.79,227.0,199.19,4.2,ESO563-G021,0.0,199.19,0.0,8899.65457685665,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,2,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9280385878490676,0.5,0.21044564961094084,1.2128658606640341,0.21044564961094084,1135.778009131953,0.6509593294438544,216.92513374517554,5360.343679313985,216.80679180265946,6852.617633851468,7069.424425654127,202.3165030948721,24.683496905127896,27.810000000000002
6.69,246.0,217.87,4.24,ESO563-G021,0.0,217.87,0.0,9045.7399103139,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,2,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9280385878490676,0.5,0.21044564961094084,1.2128658606640341,0.21044564961094084,1135.778009131953,0.6509593294438544,216.92513374517554,5360.343679313985,216.80679180265946,7095.267100149476,7312.073891952135,221.17362938912902,24.82637061087098,28.129999999999995
7.58,268.0,228.65,5.56,ESO563-G021,0.0,228.65,0.0,9475.461741424802,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,2,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9280385878490676,0.5,0.21044564961094084,1.2128658606640341,0.21044564961094084,1135.778009131953,0.6509593294438544,216.92513374517554,5360.343679313985,216.80679180265946,6897.206134564644,7114.012926367303,232.21588658372227,35.784113416277734,39.349999999999994
8.47,283.0,241.76,2.96,ESO563-G021,0.0,241.76,0.0,9455.6080283353,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,2,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9280385878490676,0.5,0.21044564961094084,1.2128658606640341,0.21044564961094084,1135.778009131953,0.6509593294438544,216.92513374517554,5360.343679313985,216.80679180265946,6900.578229043683,7117.385020846342,245.52851387683776,37.47148612316224,41.24000000000001
10.23,291.0,260.94,9.81,ESO563-G021,0.0,260.94,0.0,8277.712609970675,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,2,0.35,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9280385878490676,0.5,0.21044564961094084,1.2128658606640341,0.21044564961094084,1135.778009131953,0.6509593294438544,216.92513374517554,5360.343679313985,216.80679180265946,6655.8830498533725,6872.689841656032,265.1558354631125,25.84416453688749,30.060000000000002
