biz_name,AName,NED,RA_match_deg,DE_match_deg,nearest_sparc_name,nearest_sep_deg
2MASXJ00004392+0705232,2MASXJ00004392+0705232,NED,0.18259,7.090147,UGC00191,6.098557973904592
PGC2038248,PGC2038248,NED,0.186788,33.756809,UGC00128,3.495810240307695
SDSSJ000045.59+140428.7,SDSSJ000045.59+140428.7,NED,0.189996,14.074663,NGC7814,2.15594855458487
PGC1454005,PGC1454005,NED,0.199556,14.27753,NGC7814,1.9590407779995838
PGC1045602,PGC1045602,NED,0.21228,-5.370842,UGCA444,10.096764876275934
PGC1457443,PGC1457443,NED,0.220469,14.413526,NGC7814,1.8233697363375978
UGC12900,UGC12900,NED,0.233094,20.338327,NGC7814,4.229005442774351
PGC991444,PGC991444,NED,0.463719,-9.408434,UGCA444,6.055514518146439
PGC1501610,PGC1501610,NED,0.473763,16.137632,NGC7814,0.3252600106565754
PGC91845,PGC091845,NED,0.577984,35.242317,UGC00128,2.461913729072915
NED,,NED,0.593305,-10.42879,UGCA444,5.036080420828585
PGC1964011,PGC1964011,NED,0.598585,31.778606,UGC00128,4.838408294955546
PGC2024213,PGC2024213,NED,0.680029,33.131416,UGC00128,3.6657747185747347
NED,,NED,0.688804,31.461485,UGC00128,5.084563667476965
PGC1819666,PGC1819666,NED,0.829738,27.850815,UGC12732,5.2955089618355276
NED,,NED,0.854554,24.132711,UGC12732,5.559724051775421
PGC1893913,PGC1893913,NED,0.935497,30.192247,UGC00128,6.1746774239409445
PGC90450,PGC090450,NED,1.08124,-6.193389,UGCA444,9.288549772166714
PGC1338462,PGC1338462,NED,1.123737,8.07944,UGC00191,4.755668633254184
PGC1745323,PGC1745323,NED,1.161462,25.675274,UGC12732,5.418854792325644
PGC90452,PGC090452,NED,1.25126,4.506516,UGC00191,7.3862820223063395
NED,,NED,1.35392,7.464624,UGC00191,4.97645775591245
PGC984316,PGC984316,NED,1.376796,-9.950334,UGCA444,5.580759014499312
PGC1080508,PGC1080508,NED,1.381093,-2.891589,UGCA444,12.60281949439325
PGC1352786,PGC1352786,NED,1.385511,8.737666,UGC00191,4.173920574057678
PGC968997,PGC968997,NED,1.427206,-11.180237,UGCA444,4.379351833575516
PGC990749,PGC990749,NED,1.582847,-9.462467,UGCA444,6.095240609147467
PGC1451356,PGC1451356,NED,1.622053,14.182354,NGC7814,2.1127389392033114
UGC00047,UGC00047,NED,1.658795,17.284151,NGC7814,1.3980101185880762
PGC1725914,PGC1725914,NED,1.783559,25.115232,UGC12732,6.067339041147032
PGC566,PGC000566,NED,1.814582,33.917542,UGC00128,2.4764128632159355
PGC212468,PGC212468,NED,1.851756,8.373794,UGC00191,4.005263882317884
PGC1716792,PGC1716792,NED,1.918513,24.801214,UGC12732,6.259080649807691
NED,,NED,2.070027,8.225907,UGC00191,3.9382880286270305
PGC90453,PGC090453,NED,2.100091,33.02813,UGC00128,3.170571913617659
SDSSJ000826.52+002208.9,SDSSJ000826.52+002208.9,NED,2.110474,0.369248,UGC00191,10.90090541606485
NGC00011,NGC0011,NED,2.176961,37.447861,UGC00128,1.7822220529116404
PGC90454,PGC090454,NED,2.190198,-4.632575,UGCA444,10.95932400897619
PGC90455,PGC090455,NED,2.202895,4.456114,UGC00191,7.0037019603310195
SDSSJ000903.08+153842.7,SDSSJ000903.08+153842.7,NED,2.26288,15.645201,NGC7814,1.4820282808963343
UGC00083,UGC00083,NED,2.331449,0.59924,UGC00191,10.621860948358679
SDSSJ000924.18+003216.2,SDSSJ000924.18+003216.2,NED,2.350708,0.537843,UGC00191,10.676545777347282
PGC90457,PGC090457,NED,2.351928,-1.751413,UGC00191,12.906869585599543
PGC90459,PGC090459,NED,2.474841,28.549753,UGC12732,6.887397795283851
UGC00095,UGC00095,NED,2.609454,28.988247,UGC00128,7.041981172113372
2MASXJ00104055+1504181,2MASXJ00104055+1504181,NED,2.669025,15.07164,NGC7814,2.0857566561042393
PGC90460,PGC090460,NED,2.694386,-0.892352,UGC00191,11.996957678824748
PGC90461,PGC090461,NED,2.781433,33.90324,UGC00128,2.1634407345311746
PGC1184724,PGC1184724,NED,3.016386,1.105347,UGC00191,9.974816280129136
PGC1168181,PGC1168181,NED,3.198281,0.523035,UGC00191,10.513535415676856
NED,,NED,3.420708,5.977557,UGC00191,5.151018074960343
