r_kpc,v_obs,v_model
0.11,56.2,390.09529185210187
0.23,64.6,282.7860275407057
0.34,70.2,5.8309518948453e-07
0.46,71.6,6.782329983125269e-07
0.57,71.0,7.549834435270749e-07
0.69,69.0,8.306623862918074e-07
0.8,67.7,8.944271909999158e-07
0.92,66.9,9.59166304662544e-07
1.03,66.6,1.0148891565092219e-06
1.14,66.8,1.067707825203131e-06
1.26,67.4,1.1224972160321825e-06
1.37,68.3,1.1704699910719626e-06
1.49,69.6,1.2206555615733702e-06
1.61,71.2,23.209995617415622
1.71,72.9,46.31699697713213
1.83,74.9,54.8024500226004
1.94,77.0,62.741061451416634
2.06,79.2,71.28041055718973
2.18,81.4,80.40884683840837
2.29,83.6,88.29987095700135
2.4,85.7,92.68560247551211
2.52,87.8,94.73775960153525
2.63,89.7,95.17410034884111
2.75,91.4,94.93922806058278
2.86,92.8,95.31361083094222
2.98,94.1,95.47980380741949
3.09,95.2,95.69964917255405
3.2,96.1,101.72488428350965
4.52,97.4,92.06189495900018
4.69,96.9,98.18895399879526
6.03,96.8,92.27040522061833
7.53,105.0,88.63894790467533
8.58,110.0,85.68316876385039
8.7,110.0,85.90293353812191
8.82,110.0,85.62075387958667
9.03,111.0,85.0369268625038
9.05,111.0,85.4064305898804
10.53,112.0,82.12386148773632
12.07,112.0,79.59240761118382
13.58,114.0,76.87168596634869
15.09,118.0,74.28031057964915
16.6,122.0,71.94992921508468
18.11,125.0,69.90088880103254
19.62,128.0,67.98358325855374
21.02,131.0,66.1997034792396
24.04,127.0,61.6350857008658
27.06,124.0,57.900310463556195
