r_kpc,v_obs,v_model
0.09,11.2,79.29551439352282
0.26,26.5,64.37927796180367
0.43,33.7,29.920962208464502
0.6,32.7,12.838348007029252
0.77,33.7,23.657226623635697
0.94,35.7,32.44614794388035
1.11,37.8,34.912484371096745
1.28,41.8,36.928971785258376
1.46,43.9,42.1333087943654
1.63,44.9,45.99748543778818
2.05,53.2,50.37385436467788
2.74,64.3,54.310144152486956
3.42,73.1,55.850717060235404
4.11,76.2,58.664747613196106
4.79,78.4,58.60989438118389
5.48,83.1,57.087195633794515
6.16,88.0,55.755992264720874
6.85,89.9,53.57159504129312
7.53,90.6,51.852449211397136
8.21,91.6,51.1644343871574
8.9,92.3,50.279962666496914
9.57,90.9,49.252216776319024
10.31,89.6,48.36924994451976
10.96,89.4,47.264908902765036
