r_kpc,v_obs,v_model
0.63,262.0,7.937253933193772e-07
0.79,250.0,8.888194417315589e-07
0.95,241.0,9.746794344808963e-07
1.11,234.0,1.053565375285274e-06
1.27,228.0,1.1269427669584645e-06
1.43,225.0,1.1958260743101398e-06
1.59,222.0,1.2609520212918492e-06
1.9,221.0,1.3784048752090221e-06
2.06,221.0,1.4352700094407324e-06
2.22,222.0,96.83055202536761
2.38,222.0,163.98902321322467
2.79,221.0,172.64974607095252
2.86,221.0,197.04277219242869
3.02,220.0,221.06738385281412
4.17,205.0,216.9159758593635
5.56,190.0,213.24070392398664
6.96,190.0,212.8326492851875
8.35,198.0,208.80461624428864
9.73,204.0,206.1503393746304
11.14,204.0,197.2377798395704
12.51,201.0,190.23419421927903
13.88,203.0,185.30239361720132
15.35,202.0,180.2241364966115
16.72,198.0,173.8654289559045
18.08,195.0,167.0637235519149
19.45,194.0,160.28896651855356
20.92,192.0,153.45170341756133
22.92,190.0,144.87186470845472
25.02,191.0,137.8351150559447
29.23,193.0,126.25914324060076
