r_kpc,v_obs,v_model
0.25,3.17,23.973787460899345
0.5,10.5,24.112504880797445
0.75,17.5,26.64855360824082
1.0,22.7,31.64173650153019
1.26,29.7,31.157486414509115
1.5,34.5,27.976363984500317
1.76,36.0,28.114821104534954
2.01,37.3,27.968363951636903
2.26,35.6,31.09626205569689
2.51,34.9,34.301107988249136
2.76,32.7,37.06380422797769
3.01,32.8,38.26065849556778
3.27,33.2,38.62996770265116
3.51,32.1,39.11065665999816
3.76,30.1,38.9311301132141
4.02,32.3,38.74975649656962
4.26,33.6,38.53726471543625
4.52,35.1,38.69802825122591
4.77,35.3,39.03049134842397
5.02,35.2,38.9808794432621
5.27,34.6,38.23856513294198
5.52,33.0,37.39034653843735
