r_kpc,v_obs,v_model
1.26,21.7,13.145268271955853
2.51,40.3,20.374689594853695
3.78,57.7,24.080504695602503
5.03,68.5,25.902560633601734
6.29,73.5,29.652488481170643
7.54,78.5,32.089090198570624
8.8,83.1,32.861311322303024
