r_kpc,v_obs,v_model
0.32,24.4,5.656854249492381e-07
0.64,43.3,8e-07
0.96,45.5,9.797958971132711e-07
1.28,58.5,38.874842745565395
1.61,68.8,51.11488115698744
1.93,76.9,65.02466219141658
2.24,82.0,79.13669939601434
2.57,86.9,79.19019111332855
2.89,97.6,83.9931025918047
3.21,100.0,95.88361901495045
3.54,107.0,105.19937425669231
3.85,113.0,112.17321696846042
4.17,117.0,117.37786664688434
4.5,119.0,121.26275108535198
4.82,127.0,125.79949039672118
5.15,132.0,129.42484641323466
5.46,134.0,133.0937493836774
5.78,137.0,136.17499520673493
6.1,140.0,138.9414737307298
6.43,142.0,140.64603453373263
6.74,144.0,139.92727649166247
7.06,146.0,138.32926884812238
8.04,147.0,133.88385089202632
9.04,148.0,130.32053625011284
10.04,152.0,128.93928195036958
11.04,155.0,128.5149144628935
12.05,156.0,127.60663826934774
14.05,157.0,122.10875782020862
16.07,153.0,113.41128266854507
18.13,153.0,107.40225556307283
20.05,154.0,103.93027772910744
22.12,153.0,99.96645085436728
24.03,150.0,96.27665838061071
26.1,149.0,93.31543853850263
28.16,148.0,91.00313449134416
30.08,146.0,88.37545761666958
32.14,147.0,85.62495459438388
34.06,148.0,83.78231241933449
36.12,148.0,82.4753895802572
38.19,149.0,81.29144429643551
40.1,150.0,80.30793636600495
42.17,150.0,79.78846749609863
44.08,149.0,77.94591484280879
