r_kpc,v_obs,v_model
1.45,216.0,163.99293769225642
2.88,215.0,185.14901736676526
4.33,215.0,222.1168439534621
5.78,214.0,237.00537126285045
7.22,215.0,240.9966826910047
8.66,221.0,251.59951592683308
11.55,233.0,281.0801310540418
14.48,237.0,300.00606699181526
17.28,242.0,296.79876786370426
20.2,241.0,297.0218141371184
23.12,240.0,289.75339332040255
26.04,234.0,272.39752441698636
28.84,226.0,255.0173388130487
31.76,213.0,240.57161931016887
34.68,207.0,228.95666784483728
37.48,208.0,215.32561815163254
40.4,209.0,204.73748637203798
43.32,207.0,195.90702189011498
46.24,213.0,188.442291318742
