r_kpc,v_obs,v_model
1.25,34.1,29.33225727059742
3.75,78.4,49.11816855003724
6.25,96.9,50.784355949604844
8.76,108.0,52.648214376885996
11.25,113.0,55.23016279832689
13.74,114.0,59.6034146377306
16.22,121.0,62.188226604644456
18.71,126.0,62.980187612663244
21.3,128.0,63.446423391825235
23.79,129.0,64.11382598905102
26.28,129.0,63.57489097952361
28.77,131.0,64.17854138118761
31.25,131.0,62.93005472486289
33.74,131.0,60.15737028376041
36.23,127.0,58.49950278153128
38.82,126.0,57.48152368855349
41.31,130.0,56.02209072449978
43.8,132.0,54.07884050120459
46.28,134.0,52.263380035136976
48.77,129.0,50.30027663215275
51.26,132.0,48.649385717575306
53.75,125.0,47.27766910628444
