r_kpc,v_obs,v_model
0.12,6.48,3.4641016151377545e-07
0.19,8.6,4.3588989435406735e-07
0.26,10.2,9.066296655839105
0.33,11.7,9.101712378276199
0.4,12.7,9.726038174066174
0.47,14.1,11.350752272728256
0.55,16.0,12.954936272740996
0.62,18.1,13.883863743332213
0.69,21.2,14.14909094448453
0.76,21.6,14.928782969145935
0.83,23.3,15.184195473277681
0.9,24.5,14.584123283891538
0.97,24.4,14.73109535894321
1.04,25.3,14.868782243761352
1.11,25.4,14.846624953836814
1.19,25.9,14.690240094691637
1.26,26.7,14.634301660871962
1.33,27.1,14.784936779205179
1.4,28.6,14.818539236004213
1.48,28.9,15.038606162463722
1.55,30.4,15.422509178895558
1.62,30.8,15.551142288996793
1.69,30.5,15.296299002726434
1.75,33.0,15.53430092113105
1.83,32.1,15.708851336618157
1.9,32.9,15.648166198763713
1.97,34.2,15.707530108572362
2.04,32.6,15.89248497265606
2.11,33.7,15.928623508194223
2.19,33.8,15.75984620580924
2.26,34.9,15.928984228707996
2.33,36.1,15.545623273547427
2.4,37.2,14.736877811092455
2.48,37.6,14.216566179157002
2.55,35.6,13.715482331954265
2.62,38.3,13.308459972747617
