r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.14,5.23,4.427561405559499,5.31,UGC04278,-0.97,4.32,0.0,195.37785714285715,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,1,2.2722923169514893,0.11857363272548227,0.9481883005327156,0.04463021106930742,0.04231784398622299,0.046972806824707516,1000000.0,2.3067255429546982,2.0379518576822324,0.3349282296650718,0.04921326630012716,48100605.26856269,0.2275095012773346,0.07759492647197774,0.10682309254547953,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,2396571.776770791,579.2409246141978,579.2578459096698,-574.0278459096697,0.8024385944405017
0.42,15.4,11.342332211674986,7.78,UGC04278,0.23,11.34,0.0,564.6666666666667,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,1,2.2722923169514893,0.11857363272548227,0.9481883005327156,0.04463021106930742,0.04231784398622299,0.046972806824707516,1000000.0,2.3067255429546982,2.0379518576822324,0.3349282296650718,0.04921326630012716,48100605.26856269,0.2275095012773346,0.07759492647197774,0.10682309254547953,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,266285.7529745324,334.4249037516549,334.6171913534982,-319.2171913534982,4.0576677883250145
0.69,24.4,17.989469141695093,4.0,UGC04278,3.77,17.59,0.0,862.8405797101449,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,1,2.2722923169514893,0.11857363272548227,0.9481883005327156,0.04463021106930742,0.04231784398622299,0.046972806824707516,1000000.0,2.3067255429546982,2.0379518576822324,0.3349282296650718,0.04921326630012716,48100605.26856269,0.2275095012773346,0.07759492647197774,0.10682309254547953,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,98661.64004349406,260.9147976447693,261.534228409994,-237.134228409994,6.410530858304906
0.97,32.1,24.06953676330311,4.0,UGC04278,5.25,23.49,0.0,1062.278350515464,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,1,2.2722923169514893,0.11857363272548227,0.9481883005327156,0.04463021106930742,0.04231784398622299,0.046972806824707516,1000000.0,2.3067255429546982,2.0379518576822324,0.3349282296650718,0.04921326630012716,48100605.26856269,0.2275095012773346,0.07759492647197774,0.10682309254547953,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,49923.272212464144,220.05811515617918,221.3705415047138,-189.2705415047138,8.030463236696892
1.52,37.9,30.751463379813327,4.0,UGC04278,-5.25,30.3,0.0,945.0065789473684,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,2,2.153718684226007,0.09374503444264826,0.8659064877206473,0.20984135556620045,0.18170299117686814,0.2486631270310311,1000000.0,2.069896575867697,2.188909163153966,0.14432989690721648,0.3437872011536781,486851454.8092143,0.7238065415680109,0.19616855919746,0.0844549859843678,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,107627.73850027315,404.467752139049,405.63507617119996,-367.7350761712,7.148536620186672
1.8,40.5,32.047341543410425,4.0,UGC04278,-9.36,30.65,0.0,911.25,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,2,2.153718684226007,0.09374503444264826,0.8659064877206473,0.20984135556620045,0.18170299117686814,0.2486631270310311,1000000.0,2.069896575867697,2.188909163153966,0.14432989690721648,0.3437872011536781,486851454.8092143,0.7238065415680109,0.19616855919746,0.0844549859843678,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,76747.8787132812,371.68021427553305,373.0592630989159,-332.5592630989159,8.452658456589575
2.07,43.0,32.20996740141163,4.0,UGC04278,-9.36,30.82,0.0,893.2367149758455,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,2,2.153718684226007,0.09374503444264826,0.8659064877206473,0.20984135556620045,0.18170299117686814,0.2486631270310311,1000000.0,2.069896575867697,2.188909163153966,0.14432989690721648,0.3437872011536781,486851454.8092143,0.7238065415680109,0.19616855919746,0.0844549859843678,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,58032.42246750942,346.5935869397247,348.0870530596398,-305.0870530596398,10.790032598588368
2.35,45.1,32.03655724324947,4.0,UGC04278,-7.81,31.07,0.0,865.536170212766,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,2,2.153718684226007,0.09374503444264826,0.8659064877206473,0.20984135556620045,0.18170299117686814,0.2486631270310311,1000000.0,2.069896575867697,2.188909163153966,0.14432989690721648,0.3437872011536781,486851454.8092143,0.7238065415680109,0.19616855919746,0.0844549859843678,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,45027.27515274442,325.2907877714175,326.8645554491178,-281.7645554491178,13.063442756750533
2.91,49.2,32.33041911265612,13.0,UGC04278,-4.88,31.96,0.0,831.8350515463918,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,3,2.2226351203858212,0.06746892565441898,0.9040026833131962,0.19472104869206475,0.17602835051518606,0.4422943125977357,1000000.0,2.035724488465934,2.2569756564340944,0.09186351706036745,0.5,929290429.4012578,1.0,0.12725212303764577,0.06133538695856273,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,52230.64354432938,389.8604528725612,391.19870745440676,-341.99870745440677,16.869580887343886
3.19,50.3,33.2174532437392,4.0,UGC04278,-6.06,32.66,0.0,793.1316614420061,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,0.35,3,2.2226351203858212,0.06746892565441898,0.9040026833131962,0.19472104869206475,0.17602835051518606,0.4422943125977357,1000000.0,2.035724488465934,2.2569756564340944,0.09186351706036745,0.5,929290429.4012578,1.0,0.12725212303764577,0.06133538695856273,0.27582370678568946,0.10850746246804426,0.9239803658122133,3.86672673051297,2.349887243423467,2.2758237067856895,0.07406353663777754,1.1927075984536688,9.194123559556315,10.850746246904427,1.546690692205588,1.0,1840379.560412453,43464.0296968127,372.3576972923113,373.83639995703004,-323.53639995703,17.082546756260797
