galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_i,M_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms
NGC4013,1,5.49,9.88,7.6850000000000005,0.35000000000000003,2.0102575091471375,221.90782079557766,194.85714285714286,5.0,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0,1.0,4.041135253082453,4.041135253082453,2.9429033349717765e-07,0.001503868748570104,221.90782080067353
NGC4013,2,10.56,14.98,12.77,0.35000000000000003,2.0055754384806637,180.49914362500803,182.0,7.142857142857143,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.004682070666473859,0.991926318234939,3.9898578041381385,8.030993057220591,2.1181065860563355e-07,0.001644634339418322,180.49914363250065
NGC4013,3,15.68,20.79,18.235,0.35,2.0036519866949285,144.67868483384245,166.25,5.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.001923451785735164,0.9966753102665654,4.001273913620701,12.032266970841292,1.5563106121700448e-07,0.001684616395887229,144.67868484365016
NGC4013,4,21.48,25.2,23.34,0.35000000000000003,2.0027297017391583,126.15143218923197,172.5,5.0,6,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0009222849557701807,0.998404447160553,4.004526613448089,16.03679358428938,1.2661238525057116e-07,0.001719050049227285,126.15143220094461
NGC4013,5,25.9,31.01,28.455,0.35,2.0021633848928735,114.36964773183456,177.5,6.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0005663168462848311,0.9990199700452411,4.004729614671889,20.04152319896127,1.0645692085981556e-07,0.001740468811287939,114.36964774507773
