galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta,beta_mode
NGC6195,1.33,175.0,13.6,0.0,44287.4830075188,0.0,44287.4830075188,242.69806838951152,0.0,242.69806838951152,2000.0,structural
NGC6195,2.34,237.0,3.65,0.0,31632.44461538462,0.0,31632.44461538462,272.06602213433416,0.0,272.06602213433416,2000.0,structural
NGC6195,3.33,247.0,3.81,0.0,23788.921381381377,0.0,23788.921381381377,281.45533961891715,0.0,281.45533961891715,2000.0,structural
NGC6195,4.34,242.0,3.56,0.0,19120.09089861751,0.0,19120.09089861751,288.06456654715447,0.0,288.06456654715447,2000.0,structural
NGC6195,5.35,240.0,4.2,0.0,15830.214822429909,0.0,15830.214822429909,291.0182971910873,0.0,291.0182971910873,2000.0,structural
NGC6195,6.34,233.0,4.59,0.0,13782.492570977916,0.0,13782.492570977916,295.60277891115976,0.0,295.60277891115976,2000.0,structural
NGC6195,7.34,233.0,4.63,0.0,12115.216485013627,0.0,12115.216485013627,298.2041062762215,0.0,298.2041062762215,2000.0,structural
NGC6195,8.32,247.0,6.41,0.0,10642.69938701923,0.0,10642.69938701923,297.5689145391366,0.0,297.5689145391366,2000.0,structural
NGC6195,9.34,248.0,7.64,0.0,9284.330364025695,0.0,9284.330364025695,294.47520370992186,0.0,294.47520370992186,2000.0,structural
NGC6195,10.38,242.0,9.05,0.0,8321.745626204236,0.0,8321.745626204236,293.90426944840385,0.0,293.90426944840385,2000.0,structural
NGC6195,11.36,252.0,12.5,0.0,7514.3582922535215,0.0,7514.3582922535215,292.1696599580456,0.0,292.1696599580456,2000.0,structural
NGC6195,12.34,245.0,8.72,0.0,6786.696482982172,0.0,6786.696482982172,289.3921813041949,0.0,289.3921813041949,2000.0,structural
NGC6195,13.32,247.0,4.44,0.0,6269.56740990991,0.0,6269.56740990991,288.9820719352673,0.0,288.9820719352673,2000.0,structural
NGC6195,14.3,238.0,9.29,0.0,5910.545692307692,0.0,5910.545692307692,290.72461780867474,0.0,290.72461780867474,2000.0,structural
NGC6195,15.47,249.0,9.98,0.0,5589.576199095022,0.0,5589.576199095022,294.05908215867095,0.0,294.05908215867095,2000.0,structural
NGC6195,16.35,250.0,6.15,0.0,5300.830954128441,0.0,5300.830954128441,294.39528885496793,0.0,294.39528885496793,2000.0,structural
NGC6195,17.92,253.0,6.96,0.0,4826.183671874999,0.0,4826.183671874999,294.08368094812744,0.0,294.08368094812744,2000.0,structural
NGC6195,19.1,258.0,15.4,0.0,4541.952884816753,0.0,4541.952884816753,294.5357365414255,0.0,294.5357365414255,2000.0,structural
NGC6195,22.52,254.0,6.51,0.0,3666.3230062166963,0.0,3666.3230062166963,287.34229431115773,0.0,287.34229431115773,2000.0,structural
NGC6195,26.05,256.0,7.73,0.0,2778.9737581573895,0.0,2778.9737581573895,269.058109708665,0.0,269.058109708665,2000.0,structural
NGC6195,29.48,255.0,8.5,0.03252770145858476,2133.9918215739485,2.2067640066882466,2136.198585580637,250.81881687784113,8.06569295951498,250.94846941736301,2000.0,structural
NGC6195,33.0,244.0,5.75,0.06748935033802711,1682.4117181818183,4.090263656850127,1686.5019818386684,235.62594657634799,11.618033425500816,235.91219849909427,2000.0,structural
NGC6195,36.43,246.0,4.24,0.15501833177579938,1404.2524155915455,8.510476627823188,1412.7628922193687,226.17894574871465,17.607858005776816,226.86328958990168,2000.0,structural
