dataset,shell,n_shell,metric_col,obs_n_valid,obs_median,obs_q10,obs_q25,obs_q75,obs_q90,obs_var
5d,5-10,8610,vt_total_proxy_kms_soft,8610,138.2143582824848,41.80221008935545,69.17515729108054,261.7706490973868,382.23608648647917,19969.820666005413
5d,10-20,7593,vt_total_proxy_kms_soft,7593,210.72764814952183,81.98037330040762,127.37587581855205,336.3347187870888,487.0144163954129,30165.229927636065
5d,20-40,3458,vt_total_proxy_kms_soft,3458,359.0741190814223,150.63705430316872,233.90351115585008,549.825061159447,804.7217714342472,91847.04710541131
5d,40-80,1512,vt_total_proxy_kms_soft,1512,645.1360130250531,275.98782441559547,439.64493219288084,974.9757234274228,1406.8256422419802,241909.23611924233
5d,80+,1344,vt_total_proxy_kms_soft,1344,1971.1478897227826,702.4615817361812,1158.2907094491006,4215.079589897072,9791.750225219415,603980010.5888257
