Structural coupling rotation pipeline run log
started_at: 2026-03-23T17:27:34.723304
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_172734_local_structural_coupling_v4
beta_mode: local_structural_coupling_v4
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[025/175] [OK] F574-1 | beta_mean=79.2373 | eta_mean=0.419349 | ratio_max=0.475994 | sigma_flip=31.4533 | rmse=44.4981 | mafe=0.449035
[026/175] [OK] F574-2 | beta_mean=81.4906 | eta_mean=0.456861 | ratio_max=0.520674 | sigma_flip=2.95312 | rmse=2.76754 | mafe=0.121099
[027/175] [OK] F579-V1 | beta_mean=92.7856 | eta_mean=0.442573 | ratio_max=0.623184 | sigma_flip=48.6733 | rmse=51.1697 | mafe=0.489679
[028/175] [OK] F583-1 | beta_mean=101.442 | eta_mean=0.472568 | ratio_max=0.725301 | sigma_flip=8.18752 | rmse=37.1082 | mafe=0.561139
[029/175] [OK] F583-4 | beta_mean=85.2021 | eta_mean=0.433436 | ratio_max=0.598233 | sigma_flip=46.3248 | rmse=26.7858 | mafe=0.401347
[030/175] [OK] IC2574 | beta_mean=84.6259 | eta_mean=0.463514 | ratio_max=0.549537 | sigma_flip=8.83228 | rmse=22.2404 | mafe=0.372134
[031/175] [OK] IC4202 | beta_mean=67.363 | eta_mean=0.441082 | ratio_max=0.376201 | sigma_flip=85.4999 | rmse=56.3832 | mafe=0.307906
[032/175] [OK] KK98-251 | beta_mean=84.1956 | eta_mean=0.408875 | ratio_max=0.583406 | sigma_flip=24.2067 | rmse=9.99727 | mafe=0.25456
[033/175] [OK] NGC0024 | beta_mean=93.3283 | eta_mean=0.445565 | ratio_max=1.17314 | sigma_flip=208.785 | rmse=47.0248 | mafe=0.404176
[034/175] [OK] NGC0055 | beta_mean=69.1057 | eta_mean=0.481967 | ratio_max=0.498569 | sigma_flip=9.25146 | rmse=34.8778 | mafe=0.4119
[035/175] [OK] NGC0100 | beta_mean=64.8523 | eta_mean=0.46455 | ratio_max=0.595783 | sigma_flip=95.4376 | rmse=39.3381 | mafe=0.461204
[036/175] [OK] NGC0247 | beta_mean=89.0673 | eta_mean=0.437693 | ratio_max=0.62139 | sigma_flip=17.2834 | rmse=44.6679 | mafe=0.4618
[037/175] [OK] NGC0289 | beta_mean=73.1207 | eta_mean=0.476718 | ratio_max=0.173261 | sigma_flip=6.07776 | rmse=58.9181 | mafe=0.31772
[038/175] [OK] NGC0300 | beta_mean=80.7788 | eta_mean=0.468808 | ratio_max=0.615506 | sigma_flip=9.10124 | rmse=49.1801 | mafe=0.544755
[039/175] [OK] NGC0801 | beta_mean=61.9254 | eta_mean=0.456771 | ratio_max=0.598337 | sigma_flip=320.56 | rmse=39.4726 | mafe=0.177312
[040/175] [OK] NGC0891 | beta_mean=72.4045 | eta_mean=0.47589 | ratio_max=0.512951 | sigma_flip=328.332 | rmse=50.5356 | mafe=0.207883
[041/175] [OK] NGC1003 | beta_mean=71.4501 | eta_mean=0.496983 | ratio_max=0.436999 | sigma_flip=2.68687 | rmse=55.6873 | mafe=0.492378
[042/175] [OK] NGC1090 | beta_mean=61.1857 | eta_mean=0.479457 | ratio_max=0.382019 | sigma_flip=191.03 | rmse=43.8102 | mafe=0.348479
[043/175] [OK] NGC1705 | beta_mean=67.4414 | eta_mean=0.490043 | ratio_max=0.571459 | sigma_flip=86.9957 | rmse=47.3086 | mafe=0.655512
[044/175] [OK] NGC2366 | beta_mean=73.9196 | eta_mean=0.432772 | ratio_max=0.595647 | sigma_flip=56.6087 | rmse=23.5616 | mafe=0.460107
[045/175] [OK] NGC2403 | beta_mean=67.4289 | eta_mean=0.461832 | ratio_max=0.532697 | sigma_flip=461.352 | rmse=54.1003 | mafe=0.370617
[046/175] [OK] NGC2683 | beta_mean=69.5448 | eta_mean=0.468377 | ratio_max=0.435988 | sigma_flip=78.6416 | rmse=54.7828 | mafe=0.295231
[047/175] [OK] NGC2841 | beta_mean=79.6796 | eta_mean=0.468972 | ratio_max=0.46022 | sigma_flip=96.3134 | rmse=114.799 | mafe=0.372412
