echo_patch,location_label,delay_time_days,delay_time_err_plus_days,delay_time_err_minus_days,theta_arcsec,z_1e17_cm,z_err_1e17_cm,hemisphere_group,source_table,notes,theta_norm,delay_norm,z_abs_1e17_cm,z_abs_norm,echo_medium_mass_proxy_raw,echo_medium_volume_proxy_raw,echo_medium_volume_proxy_safe,echo_medium_density_proxy_raw,echo_medium_density_proxy_log,sigma_echo_medium_structure,D_echo_medium,gap_term,gap_term_norm,sigma_total,Dw_trial_echo_medium,grad_D_echo_medium,medium_gradient_term,distortion_driver,delay_topological_proxy_days,angle_deg,angle_rad
N1,north,125,8,8,4.52,0.0,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.4799999999999998,0.0,0.0,0.0,1.0,92.34540799999998,92.34540799999998,0.010828908785588995,0.010770696029530315,0.0,3.0,0.0,0.0,0.0,3.0,-0.051933960261308254,0.08418068625496544,0.026939419141553442,126.05063734652059,90,1.5707963267948966
S1,south,136,5,5,4.99,0.1,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.668,0.28205128205128205,0.1,0.06666666666666667,1.8051282051282052,124.25149900000001,124.25149900000001,0.014528019538244806,0.014423498964181125,0.031140762012089703,2.9750873903903283,0.024912609609671676,0.031140762012089603,0.031140762012089665,2.9750873903903283,-0.017293554865640548,0.0,0.0,125.0,270,4.71238898038469
N2,north #2,156,5,5,5.5,-0.1,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.8719999999999999,0.7948717948717948,0.1,0.06666666666666667,3.0871794871794873,166.375,166.375,0.01855554913406153,0.01838549533890882,0.06491745032663514,2.9480660397386917,0.051933960261308254,0.06491745032663533,0.0649174503266352,2.9480660397386917,-0.051933960261308254,0.08418068625496544,0.05991153267516399,127.3365497743314,75,1.3089969389957472
S2,south #2,162,3,3,5.82,0.0,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,1.0,0.9487179487179487,0.0,0.0,3.371794871794872,197.13736800000004,197.13736800000004,0.017103783549524063,0.016959160581068958,0.05275770559414007,2.9577938355246878,0.042206164475312224,0.052757705594140294,0.052757705594140156,2.9577938355246878,-0.017293554865640548,0.0,0.01097942563133273,125.42819759962198,255,4.4505895925855405
NW,northwest,159,10,1,3.99,-1.1,0.2,west_side_inclined,Sokoloski2013_Table2,Used to infer ring inclination.,0.2680000000000001,0.8717948717948718,1.1,0.7333333333333334,4.27948717948718,63.52119900000001,63.52119900000001,0.06737100758263678,0.0651986228312241,0.4640072693943484,2.628794184484521,0.37120581551547893,0.4640072693943488,0.46400726939434855,2.628794184484521,-0.4287941844845209,1.0,0.7277648293671757,153.38282834531987,135,2.356194490192345
W,west,164,20,5,3.32,-1.5,0.2,west_side_inclined,Sokoloski2013_Table2,Used to infer ring inclination.,0.0,1.0,1.5,1.0,5.0,36.594367999999996,36.594367999999996,0.1366330469213186,0.1280704247013172,1.0,2.2,0.7999999999999998,1.0,1.0,2.2,-0.4287941844845209,1.0,1.0,164.0,180,3.141592653589793
