galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
KK98-251,SPARC,0.25,4.25,2,1.87,2.88,0,3.43384624
KK98-251,SPARC,0.41,6.84,2,3.32,3.93,0,5.144637985
KK98-251,SPARC,0.57,9.56,2,4.8,4.8,0,6.788225099
KK98-251,SPARC,0.74,12.3,2,6.44,6.36,0,9.051143574
KK98-251,SPARC,0.9,15.1,2,8.03,7.43,0,10.94010055
KK98-251,SPARC,1.07,17.5,2,9.79,8.56,0,13.00452614
KK98-251,SPARC,1.24,19.7,2,11.57,9.52,0,14.98316722
KK98-251,SPARC,1.4,21.8,2,13.11,10.08,0,16.53718537
KK98-251,SPARC,1.57,24.4,2,14.44,10.55,0,17.88340292
KK98-251,SPARC,1.72,27.3,2,15.54,10.95,0,19.01036822
KK98-251,SPARC,1.89,30.3,2,16.53,11.36,0,20.05718076
KK98-251,SPARC,2.06,32.6,2,17.3,11.57,0,20.81237372
KK98-251,SPARC,2.46,33.3,2,18.07,12.23,0,21.81966544
KK98-251,SPARC,2.79,34.6,2,18.07,12.94,0,22.22540213
KK98-251,SPARC,3.13,34.2,2,17.41,12.45,0,21.4035184
