galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
IC4202,SPARC,0.77,35.1,3.96,2.22,20.98,133.76,135.4135385
IC4202,SPARC,1.59,77.9,3.95,3.89,40.96,176.62,181.3490505
IC4202,SPARC,2.36,115,6.7,4.02,58.24,176.92,186.3028298
IC4202,SPARC,3.13,156,3.16,0.9,74.68,172.53,188.0013652
IC4202,SPARC,3.95,192,3.14,0,91.45,173.49,196.1170125
IC4202,SPARC,4.73,204,2.9,0,107.35,174.08,204.5186273
IC4202,SPARC,5.5,209,3.36,0,120.52,167.74,206.5472779
IC4202,SPARC,6.27,220,3.25,0,132.68,159.21,207.2481761
IC4202,SPARC,7.08,231,3.49,0,150.86,150.44,213.0514802
IC4202,SPARC,7.86,235,4.65,0.24,170.8,142.84,222.6566038
IC4202,SPARC,8.66,245,6,0,187.59,136.33,231.8962634
IC4202,SPARC,9.45,246,5.57,3.8,199.82,130.53,238.7059976
IC4202,SPARC,10.24,239,6.95,0,208.12,125.41,242.9847783
IC4202,SPARC,11.02,240,7.16,3.35,212.98,120.9,244.9255252
IC4202,SPARC,11.79,240,4.85,15.63,214.9,116.92,245.1460652
IC4202,SPARC,12.47,246,7.68,22.51,214.77,113.67,244.0363127
IC4202,SPARC,13.34,241,6.21,30.77,213.03,109.94,241.6927334
IC4202,SPARC,14.11,250,5.62,37.16,210.67,106.85,239.1226401
IC4202,SPARC,14.59,242,5.1,39.71,209.26,105.08,237.5046065
IC4202,SPARC,14.98,244,7.41,41.88,208.03,103.7,236.18659
IC4202,SPARC,15.75,248,5.08,44.73,205.55,101.13,233.4070528
IC4202,SPARC,16.52,249,5.22,46.3,203.07,98.75,230.5052654
IC4202,SPARC,17.1,246,6.35,46.79,201.06,97.06,228.111971
IC4202,SPARC,17.88,241,16.2,46.99,198.19,94.92,224.7156928
IC4202,SPARC,18.65,247,14.6,47.18,195.23,92.94,221.3109778
IC4202,SPARC,19.62,234,20.9,47.77,191.47,90.61,217.1471987
IC4202,SPARC,20.78,249,10,51.51,186.83,88.05,212.8650547
IC4202,SPARC,22.13,236,16.1,57.31,181.4,85.32,208.4943608
IC4202,SPARC,23,245,22.1,59.87,177.88,83.69,205.4987285
IC4202,SPARC,23.58,243,4.2,61.24,175.64,82.65,203.5454979
IC4202,SPARC,25.03,238,7.76,61.05,170.07,80.22,197.7021897
IC4202,SPARC,25.9,247,6.14,60.16,166.98,78.87,194.221582
