galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC0247,SPARC,1.08,34.6,0.9,2.87,22.18,0,22.36491225
NGC0247,SPARC,1.61,47,0.8,4.22,29.63,0,29.92900433
NGC0247,SPARC,2.15,59.1,3.1,5.53,34.54,0,34.97988708
NGC0247,SPARC,2.7,64.4,1.4,7.02,38.17,0,38.81017006
NGC0247,SPARC,3.22,67.4,2.3,8.74,41.49,0,42.4005625
NGC0247,SPARC,3.77,69.8,0.7,10.74,44.33,0,45.61245992
NGC0247,SPARC,4.31,71.3,1.1,12.87,46.65,0,48.39276186
NGC0247,SPARC,4.85,73.2,1.7,14.02,48.71,0,50.68751819
NGC0247,SPARC,5.38,75.1,3,14.25,50.36,0,52.33729168
NGC0247,SPARC,5.92,78.5,3.8,15.4,51.67,0,53.91612838
NGC0247,SPARC,6.46,81.4,5,17.47,52.6,0,55.42527312
NGC0247,SPARC,6.99,83.5,7,20.12,53.23,0,56.9055999
NGC0247,SPARC,7.53,87.1,7.2,23.34,53.67,0,58.52541756
NGC0247,SPARC,8.07,90.7,4.8,25.63,54.09,0,59.85503321
NGC0247,SPARC,8.62,93.1,1.4,27.36,54.75,0,61.20565415
NGC0247,SPARC,9.14,95.9,2.1,29.31,55.29,0,62.57843239
NGC0247,SPARC,9.69,98.4,5.2,31.5,55.46,0,63.78135778
NGC0247,SPARC,10.23,101,8.2,33.45,55.35,0,64.6724439
NGC0247,SPARC,10.76,103,9.4,35.18,54.98,0,65.27199093
NGC0247,SPARC,11.3,104,9.4,36.44,54.45,0,65.51851723
NGC0247,SPARC,11.84,105,8.9,37.01,53.82,0,65.31716849
NGC0247,SPARC,12.38,105,8.4,37.01,53.2,0,64.80725345
NGC0247,SPARC,12.91,105,9,36.33,52.54,0,63.87738645
NGC0247,SPARC,13.48,106,8.4,35.29,51.7,0,62.59611889
NGC0247,SPARC,14.01,108,7.7,34.03,50.9,0,61.22786049
NGC0247,SPARC,14.54,107,9.2,32.65,50.18,0,59.86697671
